"Date";"CHLOROA";"year";"CHLOROA_noseason";"Code_point_Libelle";"Outlier"
2007-03-03;NA;"2007";NA;"Bouzigues (a)";"NON"
2007-03-13;0,309928571428571;"2007";-0,345887235967564;"Bouzigues (a)";"NON"
2007-03-23;0,409214285714286;"2007";-0,031375492819794;"Bouzigues (a)";"NON"
2007-04-02;0,8674;"2007";0,931501044374626;"Bouzigues (a)";"NON"
2007-04-12;1,46253846153846;"2007";1,78146712079383;"Bouzigues (a)";"NON"
2007-04-22;1,99023076923077;"2007";2,38594815361808;"Bouzigues (a)";"NON"
2007-05-02;1,746;"2007";2,40004565531482;"Bouzigues (a)";"NON"
2007-05-12;1,416;"2007";2,00310468076534;"Bouzigues (a)";"NON"
2007-05-22;1,15207142857143;"2007";1,57999063986244;"Bouzigues (a)";"NON"
2007-06-01;1,24278571428571;"2007";1,54055190708477;"Bouzigues (a)";"NON"
2007-06-11;1,8125;"2007";2,17818883607606;"Bouzigues (a)";"NON"
2007-06-21;2,11242857142857;"2007";2,42434329347142;"Bouzigues (a)";"NON"
2007-07-01;1,30385714285714;"2007";1,66374392483451;"Bouzigues (a)";"NON"
2007-07-11;1,31235714285714;"2007";1,57303481392886;"Bouzigues (a)";"NON"
2007-07-21;1,25485714285714;"2007";1,53069458863546;"Bouzigues (a)";"NON"
2007-07-31;1,06364285714286;"2007";1,42117648162171;"Bouzigues (a)";"NON"
2007-08-10;1,08007142857143;"2007";1,42535081836049;"Bouzigues (a)";"NON"
2007-08-20;1,0275;"2007";1,31046804435686;"Bouzigues (a)";"NON"
2007-08-30;0,885785714285714;"2007";1,0801610667235;"Bouzigues (a)";"NON"
2007-09-09;0,605071428571428;"2007";0,370801902291933;"Bouzigues (a)";"NON"
2007-09-19;1,00771428571429;"2007";0,435428039807515;"Bouzigues (a)";"NON"
2007-09-29;2,15378571428571;"2007";1,4787616368121;"Bouzigues (a)";"NON"
2007-10-09;3,62107142857143;"2007";2,93485755942345;"Bouzigues (a)";"NON"
2007-10-19;1,97178571428571;"2007";1,85886803164326;"Bouzigues (a)";"NON"
2007-10-29;1,512;"2007";1,66803592314615;"Bouzigues (a)";"NON"
2007-11-08;1,27485714285714;"2007";1,34437853000141;"Bouzigues (a)";"NON"
2007-11-18;0,367714285714286;"2007";0,72183089407601;"Bouzigues (a)";"NON"
2007-11-28;0,840785714285714;"2007";1,28002337318838;"Bouzigues (a)";"NON"
2007-12-08;0,824357142857143;"2007";1,26192284521247;"Bouzigues (a)";"NON"
2007-12-18;0,267285714285714;"2007";0,667621366987117;"Bouzigues (a)";"NON"
2007-12-28;0,630142857142857;"2007";0,751998063868016;"Bouzigues (a)";"NON"
2008-01-07;0,993;"2008";0,926235826183059;"Bouzigues (a)";"NON"
2008-01-17;1,603;"2008";1,03005644349285;"Bouzigues (a)";"NON"
2008-01-27;1,60957142857143;"2008";0,675526176149255;"Bouzigues (a)";"NON"
2008-02-06;1,38857142857143;"2008";0,433915532203239;"Bouzigues (a)";"NON"
2008-02-16;1,86642857142857;"2008";1,08353752638073;"Bouzigues (a)";"NON"
2008-02-26;2,15971428571429;"2008";1,36971836172401;"Bouzigues (a)";"NON"
2008-03-07;2,03771428571429;"2008";1,38189847831815;"Bouzigues (a)";"NON"
2008-03-17;1,362;"2008";0,92141022146592;"Bouzigues (a)";"NON"
2008-03-27;1,55985714285714;"2008";1,62395818723177;"Bouzigues (a)";"NON"
2008-04-06;1,09471428571429;"2008";1,41364294496966;"Bouzigues (a)";"NON"
2008-04-16;0,438285714285714;"2008";0,834003098673022;"Bouzigues (a)";"NON"
2008-04-26;0,784714285714286;"2008";1,43875994102911;"Bouzigues (a)";"NON"
2008-05-06;1,53971428571429;"2008";2,12681896647963;"Bouzigues (a)";"NON"
2008-05-16;1,604;"2008";2,03191921129101;"Bouzigues (a)";"NON"
2008-05-26;0,479;"2008";0,776766192799058;"Bouzigues (a)";"NON"
2008-06-05;0,731333333333333;"2008";1,09702216940939;"Bouzigues (a)";"NON"
2008-06-15;1,60771428571429;"2008";1,91962900775714;"Bouzigues (a)";"NON"
2008-06-25;2,71528571428571;"2008";3,07517249626308;"Bouzigues (a)";"NON"
2008-07-05;4,00171428571429;"2008";4,26239195678601;"Bouzigues (a)";"NON"
2008-07-15;4,259;"2008";4,53483744577832;"Bouzigues (a)";"OUI"
2008-07-25;3,25985714285714;"2008";3,617390767336;"Bouzigues (a)";"NON"
2008-08-04;0,762;"2008";1,10727938978906;"Bouzigues (a)";"NON"
2008-08-14;1,03572093023256;"2008";1,31868897458942;"Bouzigues (a)";"NON"
2008-08-24;1,30944186046512;"2008";1,5038172129029;"Bouzigues (a)";"NON"
2008-09-03;1,58316279069767;"2008";1,34889326441818;"Bouzigues (a)";"NON"
2008-09-13;1,85688372093023;"2008";1,28459747502346;"Bouzigues (a)";"NON"
2008-09-23;2,163;"2008";1,48797592252638;"Bouzigues (a)";"NON"
