"Actinoptychus";"Asterionellopsis";"Coscinodiscus";"Dinophysis";"Ditylum";"Navicula";"Paralia";"Pleurosigma";"Thalassiosira";"Asterionella";"Bacillaria";"Biddulphia";"Chaetoceros";"Guinardia";"Melosira";"Nitzschia";"Odontella";"Plagiogramma";"Prorocentrum";"Rhaphoneis";"Rhizosolenia";"Skeletonema";"Thalassionema";"Trieres";"Lauderia";"Leptocylindrus";"Meuniera";"Protoperidinium";"Cerataulina";"Dactyliosolen";"Gyrodinium";"Phaeocystis";"Pseudo-nitzschia";"Eucampia";"Diploneis";"Gymnodinium";"Akashiwo";"Diplopsalis";"Euglenoidea";"Trigonium";"Helicotheca";"Dictyocha";"Synedra";"Protoctista";"Pediastrum";"Scenedesmus";"Scrippsiella";"Tripos";"Noctiluca";"Katodinium";"Bacteriastrum";"Torodinium";"Ciliophora.x";"Heterocapsa";"Amphidinium";"Pennées";"Cryptophyceae.x";"Peridiniales";"Mesodinium";"Alexandrium";"Licmophora";"Lithodesmium";"Polykrikos";"Gonyaulax";"Pyramimonas";"Heterosigma";"Ceratium";"Dinoflagellata.x";"Brockmanniella";"Karenia";"Eutreptiella";"Bacillariaceae";"Podosira";"Plagiogrammopsis";"Euglena";"Peridinium";"Corethron";"Cylindrotheca";"Lingulodinium";"Naviculaceae";"Gymnodiniales";"Proboscia";"Gonyaulacaceae";"Dinobryon";"Detonula";"Oxytoxum";"Centriques";"Chromista.x";"Fragilariaceae";"Prymnesiophyceae";"Protoceratium";"Phalacroma";"Gymnodiniaceae";"Euglenaceae";"Achnanthes";"Eutreptiaceae";"Asteroplanus";"Neocalyptrella";"Grammatophora";"Warnowia";"Thalassiosiraceae";"Hemiaulus";"Melosiraceae";"Haslea";"Lepidodinium";"Dinophyceae.x";"Striatella";"Euglenia";"Plagiolemma";"Kareniaceae";"Mediopyxis";"Amphora";"Thalassionemataceae";"Goniodoma";"Cocconeis";"Oblea";"Chaetocerotaceae";"Entomoneis";"Tintinnidae";"Cymatosiraceae";"Pronoctiluca";"Amylax";"Entomoneidaceae";"Cryptomonadales";"Tintinnina"
1;0;0;0;0,103631512684944;0,0357225532138404;0,209464669708632;0;0,0632550933782431;0,0715734171498311;0;0;0;0;0;0;0,0846605658658617;0;0;0,189634346157071;0;0,0989047117410886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0520935066480583;0;0;0;0,0536306528478179;0,0565482189356782;0,0430434131546325;0;0;0;0;0;0;0;0;0;0,0428994780905009;0;0,0344696487593808;0;0;0;0;0;0;0;0;0;0;0,287310086652227;0;0;0;0,0621441036351332;0,231424041087578;0;0;0;0,0714231631510012;0;0;0;0;0,0533274183027082;0;0;0;0,101994291492514;0,171582715805553;0,109618466250042;0,0393741200412658;0;0;0;0;0;0;0,143945252871801;0;0,0835581945701576;0;0,116741907485255;0;0;0;0;0;0;0,0380536249223305;0,0516100402566843;0;0;0;0;0;0,141935799329499;0;0;0,171520515686382;0;0;0;0;0,0983424669360649;0;0
0;1;0,0895836784988477;0,125350922330229;0,172506321846664;0;0,0748392164629285;0,0962078977613939;0,0673879126933994;0;0;0;0,179560046641686;0;0;0;0,0685392448023298;0,0573345587872344;0,0631522544958844;0;0,0341895612822576;0;0,166032702341941;0,339784041321161;0,0492479572056444;0,0819470440793171;0,0415429974019941;0,129563841702331;0,210728935837199;0;0,0784707958105253;0,0409837364736817;0,183716928904977;0,0729939674238364;0;0;0,0409311705788162;0;0;0;0,220371663841623;0;0;0,0387381769941996;0,0568149633792895;0;0,0872105146895812;0,1710118838178;0;0;0,057319393807837;0,207997133609866;0,134715479117867;0,133348527894406;0;0;0;0;0;0;0;0,274345049374031;0,10829008142338;0,164177665294566;0;0,222505236638229;0;0;0;0,0768132705806406;0,0750590852244059;0,134117746281633;0;0;0;0;0,101967935327026;0,283989453280713;0,12934049057785;0,200462662302685;0,0815055830304404;0,183104103853538;0,073188315757021;0;0,156094783012519;0,0918710739215757;0;0;0,0425704167541655;0;0;0,089737212025689;0,166422659436494;0,274901556307394;0,124863317986019;0,0775289515844453;0,184765819308466;0,151067529448564;0;0;0;0,0966241118750471;0,101451070707532;0,0705075671847131;0;0;0;0;0;0,11271681977784;0,250660377980769;0;0;0,143039621573401;0,0581051915421644;0,207850033379958;0;0,118292086900275;0,183774195527088;0,331245079221462;0,109815986950011;0;0,0328053926496307;0,536628899035383;0,257271980116345
0;0,0895836784988477;1;0,178432757833036;0,215351739132042;0;0;0,1232069311836;0;0,0423959161167502;0;0,0400045541996971;0;0;0,112043798904873;0;0,141104492758029;0;0,093821059649443;0;0;0;0,0749810955834644;0,179668273611512;0,0653880740720517;0,113581218588913;0;0,139139259048677;0,0538583305761333;0;0,209219648228117;0;0;0,119213019417536;0;0,0853641649630828;0;0,0616703261489832;0;0;0,110860770031396;0,127369032759159;0;0;0;0;0,177642498880859;0,252523824762174;0,108086463014251;0;0,0413139679496704;0,144821480604992;0,166263241352693;0,219939408254916;0;0;0;0;0,128074822291064;0;0;0,149779725744001;0,217736588515432;0,0782802326719291;0,0467043678174469;0,191586143102893;0;0;0;0,127986177376531;0;0,214880228293563;0,0339545171651005;0;0;0;0;0,074853443521369;0,0958742512106851;0,373963434949527;0,234598525542064;0,113618137289414;0,0401339770158988;0;0,205151169806214;0,131620492347409;0;0;0,0810573226163507;0,0343347933994919;0;0,0619858415239432;0,154162436977841;0,137335986622973;0,0650704020681106;0;0,0425479897032933;0,149783579350757;0;0,0910697665102788;0,125256724995705;0,0983878501892314;0,0790580308145908;0;0;0;0;0;0;0,173821818482633;0,160495926013066;0,0539419539326479;0;0,0908887359605395;0;0,121384439812408;0,145450752316905;0,0636964760244235;0,23884089484488;0,23023732833654;0,168020001334687;0,0779671193447975;0,0372932485718976;0,174435573402355;0,152388637020562
0;0,125350922330229;0,178432757833036;1;0;0;0;0,0953884962335729;0;0;0;0;0,075523023641836;0;0;0,0684076430614086;0;0;0,330003276488758;0;0,032904177691974;0;0,0720615116674418;0,110727964008582;0;0,347535312853224;0;0,358810645389157;0,117157406398071;0;0,387741223217408;0;0,160463980445408;0,0784663618000194;0;0,20583396139844;0,0556908344051724;0,189081912515051;0;0;0,0493608760837819;0,0628497751058302;0;0;0;0;0,388721586221307;0,509915982899303;0,330951880797422;0,0705973950088923;0,186446358439722;0,158037024086499;0,187478894125174;0,236489483537165;0,121929291305301;0;0,0416719226495409;0,0559447859973605;0,17298258655393;0,203742189349203;0;0,247843031357404;0,223513433392223;0,215327683699299;0,134359832015093;0,170614144185925;0,114137238568166;0,0406118628184034;0;0,259464467616385;0;0,0553423972200181;0;0;0;0;0;0;0,189861101089703;0,209391558657068;0,151768621535822;0,245466800372809;0,0706989251874197;0;0,0935057376003924;0,118296720391517;0;0;0;0;0,0762424205635236;0,130272860201865;0,265357625028244;0,084756023835072;0,0876570956476255;0;0;0,0903631415374036;0;0,109511917433369;0;0,069582077716501;0;0,112423221609105;0,138643730439134;0;0;0;0;0,134592871725064;0,140227148669178;0,0531525960367034;0;0,132517704804298;0;0,131173663563006;0,175991359351964;0;0,100514748914906;0,0995719205430757;0,135859955072718;0,107462912124779;0;0,27730153889499;0,151110888677059
0,103631512684944;0,172506321846664;0,215351739132042;0;1;0;0,0879520977428793;0,0671983165809546;0,315445490036554;0,183782968959843;0,0413307255275474;0,0466171153763203;0;0;0,0832597614471694;0,0716704632369937;0,154837911996489;0,0911816050175114;0;0,0450892977921725;0,0365440617771201;0,235090759004076;0;0,0752834598958179;0,248879522559743;0;0;0;0;0;0,0477640565531012;0;0;0,0918267936857903;0;0;0,0364493735654319;0;0;0;0,063409208590171;0,0354346414402181;0,0650200495566572;0,0684894035268074;0,0919971795730667;0,11300348592564;0,0940172238482308;0;0;0;0;0;0,104722392385259;0,0901277550378235;0;0;0,108685133586854;0,0442095080171272;0,101951534979344;0;0;0;0,0624171367790773;0,0705353830862432;0,119188217273724;0,0458353484047845;0;0,0352593394181319;0,134385537001023;0;0;0,124654805705216;0;0,0763693031759472;0,0411281453740192;0;0,0890805598242286;0;0;0,147378625038837;0,0809257003407979;0;0;0;0,0722533465432854;0;0,0988604786111378;0,0521109550320695;0,0331434089573381;0;0;0;0;0;0;0;0,243448903007906;0;0;0;0,123056933583468;0;0,0649166291554004;0;0;0;0;0;0;0;0;0,0986080229500191;0;0;0;0;0,0489282256269106;0,113414928735013;0;0,0703825237939334;0;0;0,0845190427545662;0;0
0,0357225532138404;0;0;0;0;1;0,168150558382348;0;0,148758168306692;0;0,109146337741495;0,0706868912009058;0,12259853677065;0,153816267511665;0;0,052168532595876;0;0;0;0,112209396604339;0,120609288058346;0,223690885134117;0;0;0;0;0;0;0;0,11990322668751;0;0;0;0;0,082231167888208;0;0;0;0,156994096898836;0,0781053764877242;0;0;0;0,0617612099556959;0;0;0;0;0;0,037252419700671;0;0;0;0;0;0,380957355854537;0;0,122326458279851;0;0;0,128935322071492;0;0;0;0;0;0;0,0394431156034595;0,177908382545547;0;0,125928523658907;0;0,0499192480517055;0,0821219467079603;0;0,0561818127256231;0;0;0;0;0;0;0;0,061484256439144;0;0;0,147874912717019;0,163360761478981;0;0;0;0;0;0;0;0,0337019248792475;0;0;0,145658014514552;0;0;0;0;0,0344763337575755;0;0,182298222684658;0;0,195544757729538;0,137442430289961;0;0;0;0,10902827704915;0;0,114616806340003;0;0;0,0947141801238644;0;0;0;0;0;0;0
0,209464669708632;0,0748392164629285;0;0;0,0879520977428793;0,168150558382348;1;0,155468620206108;0,0884518037183837;0;0,178225954279172;0,119096460508046;0;0;0;0;0,22332592257653;0,0569101736142692;0;0,196737210356688;0;0,128733275839684;0,0913656639337438;0,0544664218897669;0,0658272887071253;0;0,0459650648187456;0;0;0;0;0;0;0;0,111205863615507;0;0,0415010188001198;0;0;0,126766734647695;0,128751296778357;0;0;0;0,0581446925316847;0,0771725631047834;0;0;0;0;0;0;0;0;0;0,177553458625011;0;0;0;0;0;0;0;0;0;0;0;0;0,293538125718244;0;0;0,0873254094174073;0,122346528356757;0,150505203904018;0;0;0;0,246612635228886;0;0,0406619348025334;0;0;0;0;0;0;0,175874964434587;0,0811687875491778;0,0967120284440996;0;0;0;0;0;0;0;0,0876537626950647;0;0,106508228825468;0;0,0961606510380364;0;0;0;0;0,0824988077649829;0;0,228185122534799;0,147346008583336;0;0;0;0;0;0,0492657630435471;0;0;0,115340768257296;0;0,070940402081512;0;0;0,0671057958659997;0;0
0;0,0962078977613939;0,1232069311836;0,0953884962335729;0,0671983165809546;0;0,155468620206108;1;0,0569928636456066;0;0,0443767064381887;0;0,132162272213849;0,0798446631699946;0;0,0545415986464564;0,0336920656358398;0;0,193837954751135;0,0459406401842665;0,153622614026175;0;0,128817434843869;0,0840049889145656;0,0623526062533257;0,180086078835225;0;0,145834033116735;0,147839632973207;0,116155211286541;0,0943691708725416;0;0,179048770447796;0,0404355892207197;0,0825422725395976;0,0647263422259232;0;0,0947274570488434;0;0;0,0946008124675811;0,0411570847294435;0;0,0366089962243489;0;0;0,139675994608249;0,168800767862714;0,0947542599107716;0;0,116236182324463;0,0640333164713745;0,102820438659771;0,0820933403672024;0;0,0394705290198821;0;0;0;0,0706648466055009;0,11564260960737;0,0638997263192474;0,0908159952715605;0,0531736731244026;0;0,0909825087413561;0,0338699087099491;0;0;0,0632168963330436;0;0,104945957004403;0;0;0;0;0,0368811648552189;0,138994427471601;0;0,172561332499787;0,105349786319192;0,0571306217797979;0,038761125317459;0;0,0685040870251472;0,0747582613589083;0,051333835730311;0;0,0351365258525151;0;0;0;0,0506094010880789;0,0589768294982843;0,0500316894433779;0,0443535732773841;0,0543665742576672;0,0699517346348102;0;0;0;0;0;0,0397280585749399;0,0409157988765658;0;0;0,0485767671762991;0;0,0523854645955886;0,0722276215397937;0,0454993047743599;0;0;0,0432805208355284;0,0718711961963653;0,0611171665817279;0,0934101283484346;0,0496527515295309;0,113004983244215;0;0;0,0483025218749781;0,0618963477624626;0,114124685655054
0,0632550933782431;0,0673879126933994;0;0;0,315445490036554;0,148758168306692;0,0884518037183837;0,0569928636456066;1;0,0899112972492162;0,108983683662144;0,0373957512602893;0,0625445391334529;0;0,0350463521686644;0,155525482765415;0,0483139029313265;0,069881992565757;0;0,100751797801237;0;0,449913944794367;0,0507593477389167;0,0383795440351261;0,22017527538388;0;0;0;0;0;0;0;0;0;0;0;0;0;0,141010272568042;0;0,109604028772778;0,117948838362065;0;0,0495962778019441;0,0593203830952848;0,0405841351721613;0;0;0;0;0;0;0;0;0;0,181152330729958;0;0;0;0;0;0;0;0;0;0;0;0;0,313714883491287;0;0,0615533994372437;0;0;0,0866866029324581;0;0;0,059070044085299;0,0652024465396901;0;0;0;0;0;0;0;0;0,132795082412653;0,0396498121904964;0;0;0;0;0;0;0;0,0335963249188401;0,188163916318797;0;0,0855915900409721;0;0;0;0;0;0;0,0409906729227068;0;0;0,0589417611157653;0;0;0,0393856471506449;0,108253193799431;0;0,0371767179621629;0;0;0,0553426161416294;0;0;0;0;0;0;0
0,0715734171498311;0;0,0423959161167502;0;0,183782968959843;0;0;0;0,0899112972492162;1;0;0;0;0;0,186186165855628;0;0;0;0;0,0559519115206129;0;0,134359673459903;0;0;0,0651388953308362;0;0;0,0575726781504864;0;0;0;0;0;0;0;0;0;0,0540947337710707;0;0;0;0;0,173060910279149;0;0,136922822147005;0,180154241833274;0,0896630676001497;0;0;0;0;0;0,0548420441662235;0,0939405961315747;0;0;0,0650465254356715;0,174941802572692;0;0;0;0;0,0405470446431247;0,0548990417529823;0,0695913246001836;0;0,0663757797471473;0;0,0462499078039876;0;0;0,0367135475766759;0;0,0912358048243837;0;0;0;0;0;0,100722188257775;0,0418590869147652;0;0;0;0;0;0,108624248755451;0,0849462795595045;0;0;0;0;0;0;0;0;0,132934677904871;0;0;0;0,0331813110327414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,130319249814507;0;0;0;0;0;0;0;0
0;0;0;0;0,0413307255275474;0,109146337741495;0,178225954279172;0,0443767064381887;0,108983683662144;0;1;0,040410018743575;0;0;0;0;0,0618426506084947;0,104269035995209;0;0,0440476232333707;0;0,0848877399189558;0;0;0,0379781846054505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0531157037451389;0,140186436932385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,103424328831413;0;0;0;0;0;0;0;0;0;0;0;0;0,247511182716669;0;0;0;0;0,04268981600533;0;0;0;0,0485337561161743;0;0;0;0;0;0;0;0;0,101466318616607;0;0,0446074815944991;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0438076000229517;0;0;0;0;0,067376739511344;0,0642334951190551;0;0,0551684541696313;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0,0400045541996971;0;0,0466171153763203;0,0706868912009058;0,119096460508046;0;0,0373957512602893;0;0,040410018743575;1;0,036263619791652;0;0;0;0,0938078159709889;0,056460467895528;0;0;0;0;0,0373721705732699;0;0;0;0,0676246754573722;0;0;0;0;0;0;0,0772499418279313;0;0;0,0560470654805077;0;0;0;0,0342447514180708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0461785851671265;0;0;0;0;0;0;0;0;0;0;0;0;0,0438443566413117;0;0;0;0,0585190538870661;0;0;0;0,0388647225199631;0,0459351674724529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0790502519212788;0;0;0;0;0;0;0;0;0,0494142410383236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
