x;;
 Euglenoidea-Asterionellopsis ;;PL
 Eutreptiaceae-Asterionellopsis ;;PL
 Eutreptiella-Coscinodiscus ;;PL
 Eutreptiaceae-Dinophysis ;;PL
 Euglenoidea-Ditylum ;;PL
 Eutreptiella-Ditylum ;;PL
 Eutreptiella-Paralia ;;TYCHO
 Euglena-Paralia ;;TYCHO
 Eutreptia-Pleurosigma ;;
 Euglenoidea-Thalassiosira ;;PL
 Eutreptiella-Thalassiosira ;;PL
 Euglena-Thalassiosira ;;PL
 Eutreptia-Thalassiosira ;;PL
 Euglenoidea-Biddulphia ;;
 Euglena-Chaetoceros ;;PL
 Eutreptiaceae-Chaetoceros ;;PL
 Eutreptia-Chaetoceros ;;PL
 Eutreptia-Guinardia ;;PL
 Eutreptiella-Odontella ;;TYCHO
 Euglenoidea-Prorocentrum ;;PL
 Eutreptiella-Prorocentrum ;;PL
 Eutreptiaceae-Prorocentrum ;;PL
 Eutreptia-Prorocentrum ;;PL
 Euglenoidea-Skeletonema ;;PL
 Eutreptiella-Skeletonema ;;PL
 Euglena-Skeletonema ;;PL
 Eutreptiaceae-Skeletonema ;;PL
 Eutreptia-Skeletonema ;;PL
 Eutreptiella-Thalassionema ;;PL
 Eutreptiaceae-Lauderia ;;PL
 Eutreptia-Leptocylindrus ;;PL
 Euglenoidea-Protoperidinium ;;PL
 Eutreptiella-Protoperidinium ;;PL
 Euglena-Protoperidinium ;;PL
 Eutreptiaceae-Protoperidinium ;;PL
 Eutreptia-Protoperidinium ;;PL
 Eutreptiella-Cerataulina ;;PL
 Eutreptiaceae-Cerataulina ;;PL
 Euglena-Dactyliosolen ;;PL
 Eutreptiaceae-Dactyliosolen ;;PL
 Eutreptia-Dactyliosolen ;;PL
 Eutreptiella-Gyrodinium ;;
 Euglena-Gyrodinium ;;
 Eutreptia-Gyrodinium ;;
 Eutreptiaceae-nitzschia -Pseudo;;PL
 Euglenoidea-Eucampia ;;PL
 Eutreptiaceae-Akashiwo ;;PL
 Euglenoidea-Diplopsalis ;;PL
 Euglena-Diplopsalis ;;PL
