"region";"link_genus";"Number";"Freq"
"1-Mediterranean sea";"Other association";464;0,283792048929664
"1-Mediterranean sea";"Dinophyceae-Dinophyceae";299;0,182874617737003
"1-Mediterranean sea";"Bacillariophyceae-Dinophyceae";435;0,26605504587156
"1-Mediterranean sea";"Bacillariophyceae-Bacillariophyceae";437;0,267278287461774
"2-Eastern Channel - North Sea";"Other association";331;0,273779983457403
"2-Eastern Channel - North Sea";"Dinophyceae-Dinophyceae";125;0,10339123242349
"2-Eastern Channel - North Sea";"Bacillariophyceae-Dinophyceae";354;0,292803970223325
"2-Eastern Channel - North Sea";"Bacillariophyceae-Bacillariophyceae";399;0,330024813895782
"3-Atlantic - Western Channel";"Other association";921;0,301275760549558
"3-Atlantic - Western Channel";"Dinophyceae-Dinophyceae";450;0,14720314033366
"3-Atlantic - Western Channel";"Bacillariophyceae-Dinophyceae";843;0,275760549558391
"3-Atlantic - Western Channel";"Bacillariophyceae-Bacillariophyceae";843;0,275760549558391
