"region";"Phylum.Classe";"Number";"Freq"
"1-Mediterranean sea";"Chrysophyceae";1;0,0112359550561798
"1-Mediterranean sea";"Cyanophyceae";1;0,0112359550561798
"1-Mediterranean sea";"Dictyochophyceae";1;0,0112359550561798
"1-Mediterranean sea";"Cryptophyceae";1;0,0112359550561798
"1-Mediterranean sea";"Ebriophyceae";2;0,0224719101123595
"1-Mediterranean sea";"Haptophyta";1;0,0112359550561798
"1-Mediterranean sea";"Chlorophyta";2;0,0224719101123595
"1-Mediterranean sea";"Euglenozoa";5;0,0561797752808989
"1-Mediterranean sea";"Dinophyceae";33;0,370786516853933
"1-Mediterranean sea";"Bacillariophyceae";42;0,471910112359551
"2-Eastern Channel - North Sea";"Dictyochophyceae";1;0,0128205128205128
"2-Eastern Channel - North Sea";"Raphidophyceae";1;0,0128205128205128
"2-Eastern Channel - North Sea";"Cryptophyceae";1;0,0128205128205128
"2-Eastern Channel - North Sea";"Haptophyta";1;0,0128205128205128
"2-Eastern Channel - North Sea";"Ciliophora";2;0,0256410256410256
"2-Eastern Channel - North Sea";"Chlorophyta";3;0,0384615384615385
"2-Eastern Channel - North Sea";"Euglenozoa";4;0,0512820512820513
"2-Eastern Channel - North Sea";"Dinophyceae";21;0,269230769230769
"2-Eastern Channel - North Sea";"Bacillariophyceae";44;0,564102564102564
"3-Atlantic - Western Channel";"Autres protistes";1;0,008
"3-Atlantic - Western Channel";"Chromista";1;0,008
"3-Atlantic - Western Channel";"Khakista";1;0,008
"3-Atlantic - Western Channel";"Chrysophyceae";1;0,008
"3-Atlantic - Western Channel";"Dictyochophyceae";1;0,008
"3-Atlantic - Western Channel";"Raphidophyceae";1;0,008
"3-Atlantic - Western Channel";"Cryptophyceae";2;0,016
"3-Atlantic - Western Channel";"Haptophyta";2;0,016
"3-Atlantic - Western Channel";"Ciliophora";4;0,032
"3-Atlantic - Western Channel";"Chlorophyta";3;0,024
"3-Atlantic - Western Channel";"Euglenozoa";6;0,048
"3-Atlantic - Western Channel";"Dinophyceae";37;0,296
"3-Atlantic - Western Channel";"Bacillariophyceae";65;0,52
