"v1";"v2";"asso"
"Actinoptychus";"Ditylum";0,103631512684944
"Actinoptychus";"Navicula";0,0357225532138404
"Actinoptychus";"Paralia";0,209464669708632
"Actinoptychus";"Thalassiosira";0,0632550933782431
"Actinoptychus";"Asterionella";0,0715734171498311
"Actinoptychus";"Odontella";0,0846605658658617
"Actinoptychus";"Rhaphoneis";0,189634346157071
"Actinoptychus";"Skeletonema";0,0989047117410886
"Actinoptychus";"Trigonium";0,0520935066480583
"Actinoptychus";"Protoctista";0,0536306528478179
"Actinoptychus";"Pediastrum";0,0565482189356782
"Actinoptychus";"Scenedesmus";0,0430434131546325
"Actinoptychus";"Pennées";0,0428994780905009
"Actinoptychus";"Peridiniales";0,0344696487593808
"Actinoptychus";"Brockmanniella";0,287310086652227
"Actinoptychus";"Podosira";0,0621441036351332
"Actinoptychus";"Plagiogrammopsis";0,231424041087578
"Actinoptychus";"Cylindrotheca";0,0714231631510012
"Actinoptychus";"Gonyaulacaceae";0,0533274183027082
"Actinoptychus";"Centriques";0,101994291492514
"Actinoptychus";"Chromista.x";0,171582715805553
"Actinoptychus";"Fragilariaceae";0,109618466250042
"Actinoptychus";"Prymnesiophyceae";0,0393741200412658
"Actinoptychus";"Asteroplanus";0,143945252871801
"Actinoptychus";"Grammatophora";0,0835581945701576
"Actinoptychus";"Thalassiosiraceae";0,116741907485255
"Actinoptychus";"Euglenia";0,0380536249223305
"Actinoptychus";"Plagiolemma";0,0516100402566843
"Actinoptychus";"Cocconeis";0,141935799329499
"Actinoptychus";"Entomoneis";0,171520515686382
"Actinoptychus";"Entomoneidaceae";0,0983424669360649
"Asterionellopsis";"Coscinodiscus";0,0895836784988477
"Asterionellopsis";"Dinophysis";0,125350922330229
"Asterionellopsis";"Ditylum";0,172506321846664
"Asterionellopsis";"Paralia";0,0748392164629285
"Asterionellopsis";"Pleurosigma";0,0962078977613939
"Asterionellopsis";"Thalassiosira";0,0673879126933994
"Asterionellopsis";"Chaetoceros";0,179560046641686
"Asterionellopsis";"Odontella";0,0685392448023298
"Asterionellopsis";"Plagiogramma";0,0573345587872344
"Asterionellopsis";"Prorocentrum";0,0631522544958844
"Asterionellopsis";"Rhizosolenia";0,0341895612822576
"Asterionellopsis";"Thalassionema";0,166032702341941
"Asterionellopsis";"Trieres";0,339784041321161
"Asterionellopsis";"Lauderia";0,0492479572056444
"Asterionellopsis";"Leptocylindrus";0,0819470440793171
"Asterionellopsis";"Meuniera";0,0415429974019941
"Asterionellopsis";"Protoperidinium";0,129563841702331
"Asterionellopsis";"Cerataulina";0,210728935837199
"Asterionellopsis";"Gyrodinium";0,0784707958105253
"Asterionellopsis";"Phaeocystis";0,0409837364736817
"Asterionellopsis";"Pseudo-nitzschia";0,183716928904977
"Asterionellopsis";"Eucampia";0,0729939674238364
"Asterionellopsis";"Akashiwo";0,0409311705788162
"Asterionellopsis";"Helicotheca";0,220371663841623
"Asterionellopsis";"Protoctista";0,0387381769941996
"Asterionellopsis";"Pediastrum";0,0568149633792895
"Asterionellopsis";"Scrippsiella";0,0872105146895812
"Asterionellopsis";"Tripos";0,1710118838178
"Asterionellopsis";"Bacteriastrum";0,057319393807837
"Asterionellopsis";"Torodinium";0,207997133609866
"Asterionellopsis";"Ciliophora.x";0,134715479117867
"Asterionellopsis";"Heterocapsa";0,133348527894406
"Asterionellopsis";"Lithodesmium";0,274345049374031
"Asterionellopsis";"Polykrikos";0,10829008142338
"Asterionellopsis";"Gonyaulax";0,164177665294566
"Asterionellopsis";"Heterosigma";0,222505236638229
"Asterionellopsis";"Karenia";0,0768132705806406
"Asterionellopsis";"Eutreptiella";0,0750590852244059
"Asterionellopsis";"Bacillariaceae";0,134117746281633
"Asterionellopsis";"Corethron";0,101967935327026
"Asterionellopsis";"Cylindrotheca";0,283989453280713
"Asterionellopsis";"Lingulodinium";0,12934049057785
"Asterionellopsis";"Naviculaceae";0,200462662302685
"Asterionellopsis";"Gymnodiniales";0,0815055830304404
"Asterionellopsis";"Proboscia";0,183104103853538
"Asterionellopsis";"Gonyaulacaceae";0,073188315757021
"Asterionellopsis";"Detonula";0,156094783012519
"Asterionellopsis";"Oxytoxum";0,0918710739215757
"Asterionellopsis";"Fragilariaceae";0,0425704167541655
"Asterionellopsis";"Phalacroma";0,089737212025689
"Asterionellopsis";"Gymnodiniaceae";0,166422659436494
"Asterionellopsis";"Euglenaceae";0,274901556307394
"Asterionellopsis";"Achnanthes";0,124863317986019
"Asterionellopsis";"Eutreptiaceae";0,0775289515844453
"Asterionellopsis";"Asteroplanus";0,184765819308466
"Asterionellopsis";"Neocalyptrella";0,151067529448564
"Asterionellopsis";"Hemiaulus";0,0966241118750471
"Asterionellopsis";"Melosiraceae";0,101451070707532
"Asterionellopsis";"Haslea";0,0705075671847131
"Asterionellopsis";"Kareniaceae";0,11271681977784
"Asterionellopsis";"Mediopyxis";0,250660377980769
"Asterionellopsis";"Goniodoma";0,143039621573401
"Asterionellopsis";"Cocconeis";0,0581051915421644
"Asterionellopsis";"Oblea";0,207850033379958
"Asterionellopsis";"Entomoneis";0,118292086900275
