"v1";"v1_classe";"v2";"v2_classe";"data_edge$asso";"link_genus";"Sign"
"Actinoptychus";"Bacillariophyceae";"Dinophysis";"Dinophyceae";-0,0617893619679699;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Ditylum";"Bacillariophyceae";0,103631512684944;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Navicula";"Bacillariophyceae";0,0357225532138404;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Paralia";"Bacillariophyceae";0,209464669708632;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Thalassiosira";"Bacillariophyceae";0,0632550933782431;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Asterionella";"Bacillariophyceae";0,0715734171498311;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Chaetoceros";"Bacillariophyceae";-0,0944173743275511;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Guinardia";"Bacillariophyceae";-0,112576091720806;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Odontella";"Bacillariophyceae";0,0846605658658617;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Prorocentrum";"Dinophyceae";-0,131478901133988;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Rhaphoneis";"Bacillariophyceae";0,189634346157071;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Rhizosolenia";"Bacillariophyceae";-0,051658509339418;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Skeletonema";"Bacillariophyceae";0,0989047117410886;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Trieres";"Bacillariophyceae";-0,0431399763155891;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Leptocylindrus";"Bacillariophyceae";-0,0952818641052531;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Protoperidinium";"Dinophyceae";-0,135283942768372;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Cerataulina";"Bacillariophyceae";-0,0677911854002634;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Dactyliosolen";"Bacillariophyceae";-0,124332399734186;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Gyrodinium";"Dinophyceae";-0,117530575842599;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Pseudo-nitzschia";"Bacillariophyceae";-0,0860595850849582;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Diplopsalis";"Dinophyceae";-0,033445509686812;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Euglenoidea";"Euglenozoa";-0,066471606820663;"Bacillariophyceae-Euglenozoa";"-"
"Actinoptychus";"Bacillariophyceae";"Trigonium";"Bacillariophyceae";0,0520935066480583;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Dictyocha";"Dictyochophyceae";-0,0937739779915616;"Bacillariophyceae-Dictyochophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Protoctista";"Autres protistes";0,0536306528478179;"Autres protistes-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Pediastrum";"Chlorophyta";0,0565482189356782;"Bacillariophyceae-Chlorophyta";"+"
"Actinoptychus";"Bacillariophyceae";"Scenedesmus";"Chlorophyta";0,0430434131546325;"Bacillariophyceae-Chlorophyta";"+"
"Actinoptychus";"Bacillariophyceae";"Scrippsiella";"Dinophyceae";-0,0524549391858349;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Tripos";"Dinophyceae";-0,0975868562267035;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Noctiluca";"Dinophyceae";-0,0481061914771735;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Katodinium";"Dinophyceae";-0,0796058856900846;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Torodinium";"Dinophyceae";-0,0363445177815771;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Heterocapsa";"Dinophyceae";-0,0685724754941435;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Pennées";"Bacillariophyceae";0,0428994780905009;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Peridiniales";"Dinophyceae";0,0344696487593808;"Bacillariophyceae-Dinophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Mesodinium";"Ciliophora";-0,0359149086701278;"Bacillariophyceae-Ciliophora";"-"
"Actinoptychus";"Bacillariophyceae";"Alexandrium";"Dinophyceae";-0,0485667147286794;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Licmophora";"Bacillariophyceae";-0,0504319076672671;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Lithodesmium";"Bacillariophyceae";-0,0536842743987604;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Polykrikos";"Dinophyceae";-0,0455755331941256;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Gonyaulax";"Dinophyceae";-0,0336523841697084;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Brockmanniella";"Bacillariophyceae";0,287310086652227;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Karenia";"Dinophyceae";-0,0628630002886157;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Podosira";"Bacillariophyceae";0,0621441036351332;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Plagiogrammopsis";"Bacillariophyceae";0,231424041087578;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Cylindrotheca";"Bacillariophyceae";0,0714231631510012;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Lingulodinium";"Dinophyceae";-0,0392910883584957;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Proboscia";"Bacillariophyceae";-0,0395322631998924;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Gonyaulacaceae";"Dinophyceae";0,0533274183027082;"Bacillariophyceae-Dinophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Centriques";"Bacillariophyceae";0,101994291492514;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Chromista.x";"Chromista";0,171582715805553;"Bacillariophyceae-Chromista";"+"
"Actinoptychus";"Bacillariophyceae";"Fragilariaceae";"Bacillariophyceae";0,109618466250042;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Prymnesiophyceae";"Haptophyta";0,0393741200412658;"Bacillariophyceae-Haptophyta";"+"
"Actinoptychus";"Bacillariophyceae";"Phalacroma";"Dinophyceae";-0,0341620052876301;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Gymnodiniaceae";"Dinophyceae";-0,052292242873424;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Euglenaceae";"Euglenozoa";-0,0651941285117024;"Bacillariophyceae-Euglenozoa";"-"
"Actinoptychus";"Bacillariophyceae";"Eutreptiaceae";"Euglenozoa";-0,0702944214950516;"Bacillariophyceae-Euglenozoa";"-"
"Actinoptychus";"Bacillariophyceae";"Asteroplanus";"Bacillariophyceae";0,143945252871801;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Grammatophora";"Bacillariophyceae";0,0835581945701576;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Thalassiosiraceae";"Bacillariophyceae";0,116741907485255;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Haslea";"Bacillariophyceae";-0,0403898002271463;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Euglenia";"Euglenozoa";0,0380536249223305;"Bacillariophyceae-Euglenozoa";"+"
