"v1";"v1_classe";"v2";"v2_classe";"data$asso";"link_genus"
"Actinoptychus";"Bacillariophyceae";"Navicula";"Bacillariophyceae";0,0559281941716363;"Bacillariophyceae-Bacillariophyceae"
"Actinoptychus";"Bacillariophyceae";"Paralia";"Bacillariophyceae";0,112843361463075;"Bacillariophyceae-Bacillariophyceae"
"Actinoptychus";"Bacillariophyceae";"Odontella";"Bacillariophyceae";0,0814414446392069;"Bacillariophyceae-Bacillariophyceae"
"Actinoptychus";"Bacillariophyceae";"Skeletonema";"Bacillariophyceae";0,0522254077933263;"Bacillariophyceae-Bacillariophyceae"
"Actinoptychus";"Bacillariophyceae";"Lauderia";"Bacillariophyceae";0,0673428505081203;"Bacillariophyceae-Bacillariophyceae"
"Actinoptychus";"Bacillariophyceae";"Pennées";"Bacillariophyceae";0,0645304212037618;"Bacillariophyceae-Bacillariophyceae"
"Actinoptychus";"Bacillariophyceae";"Peridiniales";"Dinophyceae";0,181543990339625;"Bacillariophyceae-Dinophyceae"
"Actinoptychus";"Bacillariophyceae";"Brockmanniella";"Bacillariophyceae";0,159553422600075;"Bacillariophyceae-Bacillariophyceae"
"Actinoptychus";"Bacillariophyceae";"Cylindrotheca";"Bacillariophyceae";0,216268284093762;"Bacillariophyceae-Bacillariophyceae"
"Actinoptychus";"Bacillariophyceae";"Naviculaceae";"Bacillariophyceae";0,0613836680161568;"Bacillariophyceae-Bacillariophyceae"
"Actinoptychus";"Bacillariophyceae";"Gymnodiniales";"Dinophyceae";0,0837335249573549;"Bacillariophyceae-Dinophyceae"
"Actinoptychus";"Bacillariophyceae";"Centriques";"Bacillariophyceae";0,240725776576755;"Bacillariophyceae-Bacillariophyceae"
"Actinoptychus";"Bacillariophyceae";"Thalassiosiraceae";"Bacillariophyceae";0,10303745445528;"Bacillariophyceae-Bacillariophyceae"
"Actinoptychus";"Bacillariophyceae";"Dinophyceae.x";"Dinophyceae";0,0481899996954591;"Bacillariophyceae-Dinophyceae"
"Actinoptychus";"Bacillariophyceae";"Euglenia";"Euglenozoa";0,186967119474927;"Bacillariophyceae-Euglenozoa"
"Actinoptychus";"Bacillariophyceae";"Plagiolemma";"Bacillariophyceae";0,188628563309032;"Bacillariophyceae-Bacillariophyceae"
"Asterionellopsis";"Bacillariophyceae";"Ditylum";"Bacillariophyceae";0,0873423790508344;"Bacillariophyceae-Bacillariophyceae"
"Asterionellopsis";"Bacillariophyceae";"Navicula";"Bacillariophyceae";0,156650242395074;"Bacillariophyceae-Bacillariophyceae"
"Asterionellopsis";"Bacillariophyceae";"Paralia";"Bacillariophyceae";0,163233256421387;"Bacillariophyceae-Bacillariophyceae"
"Asterionellopsis";"Bacillariophyceae";"Pleurosigma";"Bacillariophyceae";0,211298923072643;"Bacillariophyceae-Bacillariophyceae"
"Asterionellopsis";"Bacillariophyceae";"Thalassiosira";"Bacillariophyceae";0,153768624274971;"Bacillariophyceae-Bacillariophyceae"
"Asterionellopsis";"Bacillariophyceae";"Asterionella";"Bacillariophyceae";0,0517350874286881;"Bacillariophyceae-Bacillariophyceae"
