"v1";"v1_classe";"v2";"v2_classe";"data_edge$asso";"link_genus";"Sign"
"Actinoptychus";"Bacillariophyceae";"Dinophysis";"Dinophyceae";-0,0546320581148574;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Ditylum";"Bacillariophyceae";-0,0810617397984528;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Navicula";"Bacillariophyceae";0,0559281941716363;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Paralia";"Bacillariophyceae";0,112843361463075;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Chaetoceros";"Bacillariophyceae";-0,0839784836120573;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Guinardia";"Bacillariophyceae";-0,0598135938773352;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Nitzschia";"Bacillariophyceae";-0,169427963539176;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Odontella";"Bacillariophyceae";0,0814414446392069;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Skeletonema";"Bacillariophyceae";0,0522254077933263;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Trieres";"Bacillariophyceae";-0,0761427212421371;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Lauderia";"Bacillariophyceae";0,0673428505081203;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Gyrodinium";"Dinophyceae";-0,112131529022613;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Phaeocystis";"Haptophyta";-0,0892880405591241;"Bacillariophyceae-Haptophyta";"-"
"Actinoptychus";"Bacillariophyceae";"Pseudo-nitzschia";"Bacillariophyceae";-0,0916519258628939;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Gymnodinium";"Dinophyceae";-0,142499032038402;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Euglenoidea";"Euglenozoa";-0,0639451713991612;"Bacillariophyceae-Euglenozoa";"-"
"Actinoptychus";"Bacillariophyceae";"Katodinium";"Dinophyceae";-0,0723455381871103;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Ciliophora.x";"Ciliophora";-0,0882660057517223;"Bacillariophyceae-Ciliophora";"-"
"Actinoptychus";"Bacillariophyceae";"Amphidinium";"Dinophyceae";-0,0521546320737638;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Pennées";"Bacillariophyceae";0,0645304212037618;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Cryptophyceae.x";"Cryptophyceae";-0,0633266080493102;"Bacillariophyceae-Cryptophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Peridiniales";"Dinophyceae";0,181543990339625;"Bacillariophyceae-Dinophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Chlorophyceae";"Chlorophyta";-0,0495987837621792;"Bacillariophyceae-Chlorophyta";"-"
"Actinoptychus";"Bacillariophyceae";"Polykrikos";"Dinophyceae";-0,0535844786926977;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Brockmanniella";"Bacillariophyceae";0,159553422600075;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Cylindrotheca";"Bacillariophyceae";0,216268284093762;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Naviculaceae";"Bacillariophyceae";0,0613836680161568;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Gymnodiniales";"Dinophyceae";0,0837335249573549;"Bacillariophyceae-Dinophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Centriques";"Bacillariophyceae";0,240725776576755;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Euglenaceae";"Euglenozoa";-0,0699380769662067;"Bacillariophyceae-Euglenozoa";"-"
"Actinoptychus";"Bacillariophyceae";"Thalassiosiraceae";"Bacillariophyceae";0,10303745445528;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Dinophyceae.x";"Dinophyceae";0,0481899996954591;"Bacillariophyceae-Dinophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Euglenia";"Euglenozoa";0,186967119474927;"Bacillariophyceae-Euglenozoa";"+"
"Actinoptychus";"Bacillariophyceae";"Plagiolemma";"Bacillariophyceae";0,188628563309032;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Dinophysis";"Dinophyceae";-0,0932951453479509;"Bacillariophyceae-Dinophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Ditylum";"Bacillariophyceae";0,0873423790508344;"Bacillariophyceae-Bacillariophyceae";"+"
