"v1";"v1_classe";"v2";"v2_classe";"data_edge$asso";"link_genus";"Sign"
"Asterionellopsis";"Bacillariophyceae";"Coscinodiscus";"Bacillariophyceae";0,0734333557741823;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Ditylum";"Bacillariophyceae";0,19628847578028;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Navicula";"Bacillariophyceae";0,070057461786903;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Paralia";"Bacillariophyceae";0,0734426336853421;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Pleurosigma";"Bacillariophyceae";0,267525995923828;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Thalassiosira";"Bacillariophyceae";0,141706071149966;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Biddulphia";"Bacillariophyceae";0,043662270702851;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Chaetoceros";"Bacillariophyceae";0,40526517739851;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Guinardia";"Bacillariophyceae";0,289896744840035;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Melosira";"Bacillariophyceae";0,045073618878742;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Nitzschia";"Bacillariophyceae";0,0659919752290867;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Odontella";"Bacillariophyceae";0,0337539724843149;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Prorocentrum";"Dinophyceae";0,0329484970385037;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Rhizosolenia";"Bacillariophyceae";0,222631385822249;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Skeletonema";"Bacillariophyceae";0,286418410308563;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Thalassionema";"Bacillariophyceae";0,249146137436258;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Lauderia";"Bacillariophyceae";0,14067275782257;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Leptocylindrus";"Bacillariophyceae";0,185747076168863;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Protoperidinium";"Dinophyceae";0,136188700217522;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Cerataulina";"Bacillariophyceae";0,212255763864915;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Dactyliosolen";"Bacillariophyceae";0,351099162164475;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Gyrodinium";"Dinophyceae";0,0636158444078682;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Pseudo-nitzschia";"Bacillariophyceae";0,35213521271481;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Eucampia";"Bacillariophyceae";0,190272482015659;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Diploneis";"Bacillariophyceae";0,0673353350156637;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Gymnodinium";"Dinophyceae";-0,0451637330235922;"Bacillariophyceae-Dinophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Diplopsalis";"Dinophyceae";0,0934375613067707;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Euglenoidea";"Euglenozoa";0,044558220032531;"Bacillariophyceae-Euglenozoa";"+"
"Asterionellopsis";"Bacillariophyceae";"Dictyocha";"Dictyochophyceae";0,120405383572636;"Bacillariophyceae-Dictyochophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Scenedesmus";"Chlorophyta";0,0876291047307124;"Bacillariophyceae-Chlorophyta";"+"
"Asterionellopsis";"Bacillariophyceae";"Scrippsiella";"Dinophyceae";0,147116133806324;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Tripos";"Dinophyceae";0,0731098739696151;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Bacteriastrum";"Bacillariophyceae";0,222825596417418;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Torodinium";"Dinophyceae";-0,0364268427458771;"Bacillariophyceae-Dinophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Amphidinium";"Dinophyceae";-0,0411158095727742;"Bacillariophyceae-Dinophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Pennées";"Bacillariophyceae";0,101564327581978;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Cryptophyceae.x";"Cryptophyceae";-0,0507269859685065;"Bacillariophyceae-Cryptophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Alexandrium";"Dinophyceae";-0,0586385279810308;"Bacillariophyceae-Dinophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Ceratium";"Dinophyceae";0,0430315551595828;"Bacillariophyceae-Dinophyceae";"+"
