"v1_classe";"v2_classe";"Number";"Frequence";"link_genus";"region"
"Bacillariophyceae";"Bacillariophyceae";843;0,275760549558391;"Bacillariophyceae-Bacillariophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Dinophyceae";843;0,275760549558391;"Bacillariophyceae-Dinophyceae";"3-Atlantic - Western Channel"
"Dinophyceae";"Dinophyceae";450;0,14720314033366;"Dinophyceae-Dinophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Euglenozoa";128;0,0418711154726856;"Bacillariophyceae-Euglenozoa";"3-Atlantic - Western Channel"
"Ciliophora";"Dinophyceae";108;0,0353287536800785;"Ciliophora-Dinophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Ciliophora";107;0,0350016355904482;"Bacillariophyceae-Ciliophora";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Chlorophyta";51;0,0166830225711482;"Bacillariophyceae-Chlorophyta";"3-Atlantic - Western Channel"
"Dinophyceae";"Euglenozoa";49;0,0160287863918875;"Dinophyceae-Euglenozoa";"3-Atlantic - Western Channel"
"Cryptophyceae";"Dinophyceae";46;0,0150474321229964;"Cryptophyceae-Dinophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Cryptophyceae";42;0,013738959764475;"Bacillariophyceae-Cryptophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Dictyochophyceae";34;0,0111220150474321;"Bacillariophyceae-Dictyochophyceae";"3-Atlantic - Western Channel"
"Chlorophyta";"Dinophyceae";34;0,0111220150474321;"Chlorophyta-Dinophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Raphidophyceae";31;0,0101406607785411;"Bacillariophyceae-Raphidophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Khakista";29;0,00948642459928034;"Bacillariophyceae-Khakista";"3-Atlantic - Western Channel"
"Dictyochophyceae";"Dinophyceae";27;0,00883218842001963;"Dictyochophyceae-Dinophyceae";"3-Atlantic - Western Channel"
"Dinophyceae";"Raphidophyceae";27;0,00883218842001963;"Dinophyceae-Raphidophyceae";"3-Atlantic - Western Channel"
"Dinophyceae";"Khakista";24;0,00785083415112856;"Dinophyceae-Khakista";"3-Atlantic - Western Channel"
"Autres protistes";"Bacillariophyceae";22;0,00719659797186784;"Autres protistes-Bacillariophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Chromista";22;0,00719659797186784;"Bacillariophyceae-Chromista";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Haptophyta";22;0,00719659797186784;"Bacillariophyceae-Haptophyta";"3-Atlantic - Western Channel"
"Chrysophyceae";"Dinophyceae";14;0,00457965325482499;"Chrysophyceae-Dinophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Chrysophyceae";11;0,00359829898593392;"Bacillariophyceae-Chrysophyceae";"3-Atlantic - Western Channel"
"Dinophyceae";"Haptophyta";7;0,0022898266274125;"Dinophyceae-Haptophyta";"3-Atlantic - Western Channel"
"Autres protistes";"Dinophyceae";6;0,00196270853778214;"Autres protistes-Dinophyceae";"3-Atlantic - Western Channel"
"Chlorophyta";"Euglenozoa";6;0,00196270853778214;"Chlorophyta-Euglenozoa";"3-Atlantic - Western Channel"
"Ciliophora";"Euglenozoa";6;0,00196270853778214;"Ciliophora-Euglenozoa";"3-Atlantic - Western Channel"
"Chlorophyta";"Ciliophora";5;0,00163559044815178;"Chlorophyta-Ciliophora";"3-Atlantic - Western Channel"
"Chromista";"Dinophyceae";5;0,00163559044815178;"Chromista-Dinophyceae";"3-Atlantic - Western Channel"
"Ciliophora";"Cryptophyceae";5;0,00163559044815178;"Ciliophora-Cryptophyceae";"3-Atlantic - Western Channel"
"Cryptophyceae";"Euglenozoa";5;0,00163559044815178;"Cryptophyceae-Euglenozoa";"3-Atlantic - Western Channel"
"Ciliophora";"Ciliophora";4;0,00130847235852143;"Ciliophora-Ciliophora";"3-Atlantic - Western Channel"
"Ciliophora";"Dictyochophyceae";4;0,00130847235852143;"Ciliophora-Dictyochophyceae";"3-Atlantic - Western Channel"
"Ciliophora";"Khakista";4;0,00130847235852143;"Ciliophora-Khakista";"3-Atlantic - Western Channel"
"Ciliophora";"Raphidophyceae";4;0,00130847235852143;"Ciliophora-Raphidophyceae";"3-Atlantic - Western Channel"
"Chlorophyta";"Chlorophyta";3;0,00098135426889107;"Chlorophyta-Chlorophyta";"3-Atlantic - Western Channel"
"Chlorophyta";"Chromista";3;0,00098135426889107;"Chlorophyta-Chromista";"3-Atlantic - Western Channel"
"Chlorophyta";"Cryptophyceae";3;0,00098135426889107;"Chlorophyta-Cryptophyceae";"3-Atlantic - Western Channel"
"Cryptophyceae";"Dictyochophyceae";2;0,000654236179260713;"Cryptophyceae-Dictyochophyceae";"3-Atlantic - Western Channel"
"Dictyochophyceae";"Euglenozoa";2;0,000654236179260713;"Dictyochophyceae-Euglenozoa";"3-Atlantic - Western Channel"
"Euglenozoa";"Haptophyta";2;0,000654236179260713;"Euglenozoa-Haptophyta";"3-Atlantic - Western Channel"
"Euglenozoa";"Khakista";2;0,000654236179260713;"Euglenozoa-Khakista";"3-Atlantic - Western Channel"
"Euglenozoa";"Raphidophyceae";2;0,000654236179260713;"Euglenozoa-Raphidophyceae";"3-Atlantic - Western Channel"
"Autres protistes";"Chlorophyta";1;0,000327118089630357;"Autres protistes-Chlorophyta";"3-Atlantic - Western Channel"
"Autres protistes";"Ciliophora";1;0,000327118089630357;"Autres protistes-Ciliophora";"3-Atlantic - Western Channel"
"Autres protistes";"Euglenozoa";1;0,000327118089630357;"Autres protistes-Euglenozoa";"3-Atlantic - Western Channel"
"Chlorophyta";"Dictyochophyceae";1;0,000327118089630357;"Chlorophyta-Dictyochophyceae";"3-Atlantic - Western Channel"
"Chromista";"Ciliophora";1;0,000327118089630357;"Chromista-Ciliophora";"3-Atlantic - Western Channel"
"Chromista";"Euglenozoa";1;0,000327118089630357;"Chromista-Euglenozoa";"3-Atlantic - Western Channel"
"Chrysophyceae";"Euglenozoa";1;0,000327118089630357;"Chrysophyceae-Euglenozoa";"3-Atlantic - Western Channel"
"Cryptophyceae";"Khakista";1;0,000327118089630357;"Cryptophyceae-Khakista";"3-Atlantic - Western Channel"
"Cryptophyceae";"Raphidophyceae";1;0,000327118089630357;"Cryptophyceae-Raphidophyceae";"3-Atlantic - Western Channel"
"Dictyochophyceae";"Raphidophyceae";1;0,000327118089630357;"Dictyochophyceae-Raphidophyceae";"3-Atlantic - Western Channel"
"Euglenozoa";"Euglenozoa";1;0,000327118089630357;"Euglenozoa-Euglenozoa";"3-Atlantic - Western Channel"
"Haptophyta";"Khakista";1;0,000327118089630357;"Haptophyta-Khakista";"3-Atlantic - Western Channel"
"Khakista";"Raphidophyceae";1;0,000327118089630357;"Khakista-Raphidophyceae";"3-Atlantic - Western Channel"
