"v1_classe";"v2_classe";"Sign";"Number";"Frequence";"link_genus";"region"
"Bacillariophyceae";"Bacillariophyceae";"+";843;0,177773091522564;"Bacillariophyceae-Bacillariophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Dinophyceae";"+";843;0,177773091522564;"Bacillariophyceae-Dinophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Dinophyceae";"-";583;0,122943905525095;"Bacillariophyceae-Dinophyceae";"3-Atlantic - Western Channel"
"Dinophyceae";"Dinophyceae";"+";450;0,0948966680725432;"Dinophyceae-Dinophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Bacillariophyceae";"-";437;0,0921552087726698;"Bacillariophyceae-Bacillariophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Euglenozoa";"-";131;0,0276254744833404;"Bacillariophyceae-Euglenozoa";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Euglenozoa";"+";128;0,0269928300295234;"Bacillariophyceae-Euglenozoa";"3-Atlantic - Western Channel"
"Ciliophora";"Dinophyceae";"+";108;0,0227752003374104;"Ciliophora-Dinophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Ciliophora";"+";107;0,0225643188528047;"Bacillariophyceae-Ciliophora";"3-Atlantic - Western Channel"
"Dinophyceae";"Euglenozoa";"-";85;0,0179249261914804;"Dinophyceae-Euglenozoa";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Ciliophora";"-";68;0,0143399409531843;"Bacillariophyceae-Ciliophora";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Chlorophyta";"-";54;0,0113876001687052;"Bacillariophyceae-Chlorophyta";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Cryptophyceae";"-";52;0,0109658371994939;"Bacillariophyceae-Cryptophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Chlorophyta";"+";51;0,0107549557148882;"Bacillariophyceae-Chlorophyta";"3-Atlantic - Western Channel"
"Dinophyceae";"Euglenozoa";"+";49;0,0103331927456769;"Dinophyceae-Euglenozoa";"3-Atlantic - Western Channel"
"Cryptophyceae";"Dinophyceae";"+";46;0,00970054829185998;"Cryptophyceae-Dinophyceae";"3-Atlantic - Western Channel"
"Dinophyceae";"Dinophyceae";"-";43;0,00906790383804302;"Dinophyceae-Dinophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Cryptophyceae";"+";42;0,00885702235343737;"Bacillariophyceae-Cryptophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Dictyochophyceae";"+";34;0,00716997047659215;"Bacillariophyceae-Dictyochophyceae";"3-Atlantic - Western Channel"
"Chlorophyta";"Dinophyceae";"+";34;0,00716997047659215;"Chlorophyta-Dinophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Raphidophyceae";"+";31;0,0065373260227752;"Bacillariophyceae-Raphidophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Khakista";"+";29;0,0061155630535639;"Bacillariophyceae-Khakista";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Chrysophyceae";"-";28;0,00590468156895825;"Bacillariophyceae-Chrysophyceae";"3-Atlantic - Western Channel"
"Dictyochophyceae";"Dinophyceae";"+";27;0,00569380008435259;"Dictyochophyceae-Dinophyceae";"3-Atlantic - Western Channel"
"Dinophyceae";"Raphidophyceae";"+";27;0,00569380008435259;"Dinophyceae-Raphidophyceae";"3-Atlantic - Western Channel"
