"v1_classe";"v2_classe";"Sign";"Number";"Frequence";"link_genus";"region"
"Bacillariophyceae";"Bacillariophyceae";"+";399;0,210443037974684;"Bacillariophyceae-Bacillariophyceae";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Dinophyceae";"+";354;0,186708860759494;"Bacillariophyceae-Dinophyceae";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Dinophyceae";"-";236;0,124472573839662;"Bacillariophyceae-Dinophyceae";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Bacillariophyceae";"-";210;0,110759493670886;"Bacillariophyceae-Bacillariophyceae";"2-Eastern Channel - North Sea"
"Dinophyceae";"Dinophyceae";"+";125;0,0659282700421941;"Dinophyceae-Dinophyceae";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Euglenozoa";"-";70;0,0369198312236287;"Bacillariophyceae-Euglenozoa";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Euglenozoa";"+";49;0,0258438818565401;"Bacillariophyceae-Euglenozoa";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Ciliophora";"+";38;0,020042194092827;"Bacillariophyceae-Ciliophora";"2-Eastern Channel - North Sea"
"Dinophyceae";"Euglenozoa";"+";37;0,0195147679324895;"Dinophyceae-Euglenozoa";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Cryptophyceae";"+";29;0,015295358649789;"Bacillariophyceae-Cryptophyceae";"2-Eastern Channel - North Sea"
"Ciliophora";"Dinophyceae";"+";29;0,015295358649789;"Ciliophora-Dinophyceae";"2-Eastern Channel - North Sea"
"Dinophyceae";"Dinophyceae";"-";29;0,015295358649789;"Dinophyceae-Dinophyceae";"2-Eastern Channel - North Sea"
"Dinophyceae";"Euglenozoa";"-";29;0,015295358649789;"Dinophyceae-Euglenozoa";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Chlorophyta";"+";28;0,0147679324894515;"Bacillariophyceae-Chlorophyta";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Dictyochophyceae";"+";22;0,0116033755274262;"Bacillariophyceae-Dictyochophyceae";"2-Eastern Channel - North Sea"
"Chlorophyta";"Dinophyceae";"+";22;0,0116033755274262;"Chlorophyta-Dinophyceae";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Haptophyta";"-";15;0,00791139240506329;"Bacillariophyceae-Haptophyta";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Chlorophyta";"-";14;0,00738396624472574;"Bacillariophyceae-Chlorophyta";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Haptophyta";"+";13;0,00685654008438819;"Bacillariophyceae-Haptophyta";"2-Eastern Channel - North Sea"
"Dinophyceae";"Haptophyta";"-";12;0,00632911392405063;"Dinophyceae-Haptophyta";"2-Eastern Channel - North Sea"
