"v1_classe";"v2_classe";"Number";"Frequence";"link_genus";"region"
"Bacillariophyceae";"Bacillariophyceae";437;0,267278287461774;"Bacillariophyceae-Bacillariophyceae";"1-Mediterranean sea"
"Bacillariophyceae";"Dinophyceae";435;0,26605504587156;"Bacillariophyceae-Dinophyceae";"1-Mediterranean sea"
"Dinophyceae";"Dinophyceae";299;0,182874617737003;"Dinophyceae-Dinophyceae";"1-Mediterranean sea"
"Dinophyceae";"Euglenozoa";72;0,0440366972477064;"Dinophyceae-Euglenozoa";"1-Mediterranean sea"
"Bacillariophyceae";"Euglenozoa";69;0,0422018348623853;"Bacillariophyceae-Euglenozoa";"1-Mediterranean sea"
"Dinophyceae";"Ebriophyceae";34;0,0207951070336391;"Dinophyceae-Ebriophyceae";"1-Mediterranean sea"
"Bacillariophyceae";"Chlorophyta";32;0,0195718654434251;"Bacillariophyceae-Chlorophyta";"1-Mediterranean sea"
"Chlorophyta";"Dinophyceae";28;0,0171253822629969;"Chlorophyta-Dinophyceae";"1-Mediterranean sea"
"Bacillariophyceae";"Ebriophyceae";27;0,0165137614678899;"Bacillariophyceae-Ebriophyceae";"1-Mediterranean sea"
"Dinophyceae";"Haptophyta";24;0,0146788990825688;"Dinophyceae-Haptophyta";"1-Mediterranean sea"
"Bacillariophyceae";"Chrysophyceae";19;0,0116207951070336;"Bacillariophyceae-Chrysophyceae";"1-Mediterranean sea"
"Bacillariophyceae";"Cyanophyceae";19;0,0116207951070336;"Bacillariophyceae-Cyanophyceae";"1-Mediterranean sea"
"Bacillariophyceae";"Haptophyta";19;0,0116207951070336;"Bacillariophyceae-Haptophyta";"1-Mediterranean sea"
"Bacillariophyceae";"Dictyochophyceae";18;0,0110091743119266;"Bacillariophyceae-Dictyochophyceae";"1-Mediterranean sea"
"Chrysophyceae";"Dinophyceae";18;0,0110091743119266;"Chrysophyceae-Dinophyceae";"1-Mediterranean sea"
"Cryptophyceae";"Dinophyceae";16;0,00978593272171254;"Cryptophyceae-Dinophyceae";"1-Mediterranean sea"
"Bacillariophyceae";"Cryptophyceae";11;0,00672782874617737;"Bacillariophyceae-Cryptophyceae";"1-Mediterranean sea"
"Chlorophyta";"Euglenozoa";7;0,00428134556574924;"Chlorophyta-Euglenozoa";"1-Mediterranean sea"
"Cyanophyceae";"Dinophyceae";5;0,00305810397553517;"Cyanophyceae-Dinophyceae";"1-Mediterranean sea"
"Dictyochophyceae";"Dinophyceae";5;0,00305810397553517;"Dictyochophyceae-Dinophyceae";"1-Mediterranean sea"
"Cryptophyceae";"Euglenozoa";4;0,00244648318042813;"Cryptophyceae-Euglenozoa";"1-Mediterranean sea"
"Ebriophyceae";"Euglenozoa";4;0,00244648318042813;"Ebriophyceae-Euglenozoa";"1-Mediterranean sea"
"Chrysophyceae";"Euglenozoa";3;0,0018348623853211;"Chrysophyceae-Euglenozoa";"1-Mediterranean sea"
"Euglenozoa";"Haptophyta";3;0,0018348623853211;"Euglenozoa-Haptophyta";"1-Mediterranean sea"
"Chlorophyta";"Chrysophyceae";2;0,00122324159021407;"Chlorophyta-Chrysophyceae";"1-Mediterranean sea"
"Chlorophyta";"Cryptophyceae";2;0,00122324159021407;"Chlorophyta-Cryptophyceae";"1-Mediterranean sea"
"Chlorophyta";"Cyanophyceae";2;0,00122324159021407;"Chlorophyta-Cyanophyceae";"1-Mediterranean sea"
"Chlorophyta";"Dictyochophyceae";2;0,00122324159021407;"Chlorophyta-Dictyochophyceae";"1-Mediterranean sea"
"Chlorophyta";"Haptophyta";2;0,00122324159021407;"Chlorophyta-Haptophyta";"1-Mediterranean sea"
"Cyanophyceae";"Euglenozoa";2;0,00122324159021407;"Cyanophyceae-Euglenozoa";"1-Mediterranean sea"
"Ebriophyceae";"Haptophyta";2;0,00122324159021407;"Ebriophyceae-Haptophyta";"1-Mediterranean sea"
"Chrysophyceae";"Cryptophyceae";1;0,000611620795107034;"Chrysophyceae-Cryptophyceae";"1-Mediterranean sea"
"Chrysophyceae";"Cyanophyceae";1;0,000611620795107034;"Chrysophyceae-Cyanophyceae";"1-Mediterranean sea"
"Chrysophyceae";"Dictyochophyceae";1;0,000611620795107034;"Chrysophyceae-Dictyochophyceae";"1-Mediterranean sea"
"Chrysophyceae";"Haptophyta";1;0,000611620795107034;"Chrysophyceae-Haptophyta";"1-Mediterranean sea"
"Cryptophyceae";"Cyanophyceae";1;0,000611620795107034;"Cryptophyceae-Cyanophyceae";"1-Mediterranean sea"
"Cryptophyceae";"Dictyochophyceae";1;0,000611620795107034;"Cryptophyceae-Dictyochophyceae";"1-Mediterranean sea"
"Cryptophyceae";"Haptophyta";1;0,000611620795107034;"Cryptophyceae-Haptophyta";"1-Mediterranean sea"
"Cyanophyceae";"Dictyochophyceae";1;0,000611620795107034;"Cyanophyceae-Dictyochophyceae";"1-Mediterranean sea"
"Cyanophyceae";"Haptophyta";1;0,000611620795107034;"Cyanophyceae-Haptophyta";"1-Mediterranean sea"
"Dictyochophyceae";"Euglenozoa";1;0,000611620795107034;"Dictyochophyceae-Euglenozoa";"1-Mediterranean sea"
"Dictyochophyceae";"Haptophyta";1;0,000611620795107034;"Dictyochophyceae-Haptophyta";"1-Mediterranean sea"
"Ebriophyceae";"Ebriophyceae";1;0,000611620795107034;"Ebriophyceae-Ebriophyceae";"1-Mediterranean sea"
"Euglenozoa";"Euglenozoa";1;0,000611620795107034;"Euglenozoa-Euglenozoa";"1-Mediterranean sea"
