"v1_classe";"v2_classe";"Sign";"Number";"Frequence";"link_genus";"region"
"Bacillariophyceae";"Bacillariophyceae";"+";437;0,203066914498141;"Bacillariophyceae-Bacillariophyceae";"1-Mediterranean sea"
"Bacillariophyceae";"Dinophyceae";"+";435;0,202137546468401;"Bacillariophyceae-Dinophyceae";"1-Mediterranean sea"
"Dinophyceae";"Dinophyceae";"+";299;0,138940520446097;"Dinophyceae-Dinophyceae";"1-Mediterranean sea"
"Bacillariophyceae";"Dinophyceae";"-";221;0,102695167286245;"Bacillariophyceae-Dinophyceae";"1-Mediterranean sea"
"Bacillariophyceae";"Bacillariophyceae";"-";82;0,0381040892193309;"Bacillariophyceae-Bacillariophyceae";"1-Mediterranean sea"
"Dinophyceae";"Euglenozoa";"+";72;0,033457249070632;"Dinophyceae-Euglenozoa";"1-Mediterranean sea"
"Bacillariophyceae";"Euglenozoa";"+";69;0,0320631970260223;"Bacillariophyceae-Euglenozoa";"1-Mediterranean sea"
"Dinophyceae";"Dinophyceae";"-";65;0,0302044609665428;"Dinophyceae-Dinophyceae";"1-Mediterranean sea"
"Dinophyceae";"Ebriophyceae";"+";34;0,0157992565055762;"Dinophyceae-Ebriophyceae";"1-Mediterranean sea"
"Bacillariophyceae";"Chlorophyta";"+";32;0,0148698884758364;"Bacillariophyceae-Chlorophyta";"1-Mediterranean sea"
"Chlorophyta";"Dinophyceae";"+";28;0,0130111524163569;"Chlorophyta-Dinophyceae";"1-Mediterranean sea"
"Bacillariophyceae";"Ebriophyceae";"+";27;0,012546468401487;"Bacillariophyceae-Ebriophyceae";"1-Mediterranean sea"
"Bacillariophyceae";"Euglenozoa";"-";27;0,012546468401487;"Bacillariophyceae-Euglenozoa";"1-Mediterranean sea"
"Dinophyceae";"Haptophyta";"+";24;0,0111524163568773;"Dinophyceae-Haptophyta";"1-Mediterranean sea"
"Bacillariophyceae";"Cryptophyceae";"-";20;0,00929368029739777;"Bacillariophyceae-Cryptophyceae";"1-Mediterranean sea"
"Dinophyceae";"Euglenozoa";"-";20;0,00929368029739777;"Dinophyceae-Euglenozoa";"1-Mediterranean sea"
"Bacillariophyceae";"Chrysophyceae";"+";19;0,00882899628252788;"Bacillariophyceae-Chrysophyceae";"1-Mediterranean sea"
"Bacillariophyceae";"Cyanophyceae";"+";19;0,00882899628252788;"Bacillariophyceae-Cyanophyceae";"1-Mediterranean sea"
"Bacillariophyceae";"Haptophyta";"+";19;0,00882899628252788;"Bacillariophyceae-Haptophyta";"1-Mediterranean sea"
"Bacillariophyceae";"Dictyochophyceae";"+";18;0,00836431226765799;"Bacillariophyceae-Dictyochophyceae";"1-Mediterranean sea"
"Chrysophyceae";"Dinophyceae";"+";18;0,00836431226765799;"Chrysophyceae-Dinophyceae";"1-Mediterranean sea"
"Cryptophyceae";"Dinophyceae";"+";16;0,00743494423791822;"Cryptophyceae-Dinophyceae";"1-Mediterranean sea"
"Dictyochophyceae";"Dinophyceae";"-";15;0,00697026022304833;"Dictyochophyceae-Dinophyceae";"1-Mediterranean sea"
