"N_BacBac";"P_BacBac";"N_BacDino";"P_BacDino";"N_DinoDino";"P_DinoDino";"N_AAutres";"P_AAutres";"N_asso";"N_bac";"P_bac";"N_dino";"P_dino";"N_autres";"P_autres";"N_taxons"
"804";0,263002944062807;936;0,306182531894014;256;0,0837422309453713;1061;0,347072293097808;3057;65;0,52;37;0,296;23;0,184;125
"813";0,26594700686948;950;0,310762185148839;253;0,0827608766764802;1041;0,340529931305201;3057;65;0,52;37;0,296;23;0,184;125
"825";0,269872423945044;939;0,307163886162905;268;0,0876676480209356;1025;0,335296041871115;3057;65;0,52;37;0,296;23;0,184;125
"805";0,263330062152437;935;0,305855413804383;269;0,0879947661105659;1048;0,342819757932614;3057;65;0,52;37;0,296;23;0,184;125
"820";0,268236833496892;929;0,303892705266601;241;0,0788354596009159;1067;0,34903500163559;3057;65;0,52;37;0,296;23;0,184;125
"817";0,267255479228001;951;0,311089303238469;282;0,0922473012757605;1007;0,329407916257769;3057;65;0,52;37;0,296;23;0,184;125
"790";0,258423290807982;933;0,305201177625123;262;0,0857049394831534;1072;0,350670592083742;3057;65;0,52;37;0,296;23;0,184;125
"831";0,271835132482826;966;0,315996074582924;253;0,0827608766764802;1007;0,329407916257769;3057;65;0,52;37;0,296;23;0,184;125
"847";0,277069021916912;938;0,306836768073274;268;0,0876676480209356;1004;0,328426561988878;3057;65;0,52;37;0,296;23;0,184;125
"864";0,282630029440628;937;0,306509649983644;264;0,0863591756624141;992;0,324501144913314;3057;65;0,52;37;0,296;23;0,184;125
"808";0,264311416421328;928;0,303565587176971;280;0,0915930650964998;1041;0,340529931305201;3057;65;0,52;37;0,296;23;0,184;125
"796";0,260385999345764;947;0,309780830879948;246;0,0804710500490677;1068;0,349362119725221;3057;65;0,52;37;0,296;23;0,184;125
"803";0,262675825973176;938;0,306836768073274;275;0,0899574746483481;1041;0,340529931305201;3057;65;0,52;37;0,296;23;0,184;125
"795";0,260058881256133;950;0,310762185148839;261;0,0853778213935231;1051;0,343801112201505;3057;65;0,52;37;0,296;23;0,184;125
"836";0,273470722930978;951;0,311089303238469;267;0,0873405299313052;1003;0,328099443899248;3057;65;0,52;37;0,296;23;0,184;125
"788";0,257769054628721;975;0,318940137389598;255;0,0834151128557409;1039;0,33987569512594;3057;65;0,52;37;0,296;23;0,184;125
"846";0,276741903827282;919;0,300621524370298;264;0,0863591756624141;1028;0,336277396140007;3057;65;0,52;37;0,296;23;0,184;125
"827";0,270526660124305;950;0,310762185148839;257;0,0840693490350016;1023;0,334641805691855;3057;65;0,52;37;0,296;23;0,184;125
"812";0,26561988877985;930;0,304219823356232;267;0,0873405299313052;1048;0,342819757932614;3057;65;0,52;37;0,296;23;0,184;125
"785";0,25678770035983;1011;0,33071638861629;270;0,0883218842001963;991;0,324174026823683;3057;65;0,52;37;0,296;23;0,184;125
"798";0,261040235525025;935;0,305855413804383;270;0,0883218842001963;1054;0,344782466470396;3057;65;0,52;37;0,296;23;0,184;125
"826";0,270199542034675;921;0,301275760549558;273;0,0893032384690873;1037;0,33922145894668;3057;65;0,52;37;0,296;23;0,184;125
"801";0,262021589793916;957;0,313052011776251;265;0,0866862937520445;1034;0,338240104677789;3057;65;0,52;37;0,296;23;0,184;125
"802";0,262348707883546;951;0,311089303238469;261;0,0853778213935231;1043;0,341184167484462;3057;65;0,52;37;0,296;23;0,184;125
"806";0,263657180242067;955;0,312397775596991;269;0,0879947661105659;1027;0,335950278050376;3057;65;0,52;37;0,296;23;0,184;125
"800";0,261694471704285;985;0,322211318285901;261;0,0853778213935231;1011;0,33071638861629;3057;65;0,52;37;0,296;23;0,184;125
"828";0,270853778213935;911;0,298004579653255;281;0,0919201831861302;1037;0,33922145894668;3057;65;0,52;37;0,296;23;0,184;125
"798";0,261040235525025;974;0,318613019299967;263;0,0860320575727838;1022;0,334314687602224;3057;65;0,52;37;0,296;23;0,184;125
"852";0,278704612365064;944;0,308799476611057;264;0,0863591756624141;997;0,326136735361465;3057;65;0,52;37;0,296;23;0,184;125
"824";0,269545305855414;924;0,302257114818449;269;0,0879947661105659;1040;0,340202813215571;3057;65;0,52;37;0,296;23;0,184;125
"813";0,26594700686948;938;0,306836768073274;280;0,0915930650964998;1026;0,335623159960746;3057;65;0,52;37;0,296;23;0,184;125
"798";0,261040235525025;952;0,311416421328099;284;0,0929015374550213;1023;0,334641805691855;3057;65;0,52;37;0,296;23;0,184;125
"788";0,257769054628721;952;0,311416421328099;289;0,094537127903173;1028;0,336277396140007;3057;65;0,52;37;0,296;23;0,184;125
"836";0,273470722930978;938;0,306836768073274;278;0,0909388289172391;1005;0,328753680078508;3057;65;0,52;37;0,296;23;0,184;125
"857";0,280340202813216;954;0,31207065750736;244;0,079816813869807;1002;0,327772325809617;3057;65;0,52;37;0,296;23;0,184;125
"805";0,263330062152437;958;0,313379129865882;267;0,0873405299313052;1027;0,335950278050376;3057;65;0,52;37;0,296;23;0,184;125
"837";0,273797841020608;918;0,300294406280667;287;0,0938828917239123;1015;0,332024860974812;3057;65;0,52;37;0,296;23;0,184;125
"833";0,272489368662087;960;0,314033366045142;266;0,0870134118416748;998;0,326463853451096;3057;65;0,52;37;0,296;23;0,184;125
"801";0,262021589793916;978;0,319921491658489;249;0,0814524043179588;1029;0,336604514229637;3057;65;0,52;37;0,296;23;0,184;125
"817";0,267255479228001;964;0,315341838403664;265;0,0866862937520445;1011;0,33071638861629;3057;65;0,52;37;0,296;23;0,184;125
"829";0,271180896303566;930;0,304219823356232;252;0,0824337585868499;1046;0,342165521753353;3057;65;0,52;37;0,296;23;0,184;125
"860";0,281321557082107;923;0,301929996728819;238;0,0778541053320249;1036;0,338894340857049;3057;65;0,52;37;0,296;23;0,184;125
"804";0,263002944062807;958;0,313379129865882;262;0,0857049394831534;1033;0,337912986588158;3057;65;0,52;37;0,296;23;0,184;125
"803";0,262675825973176;948;0,310107948969578;270;0,0883218842001963;1036;0,338894340857049;3057;65;0,52;37;0,296;23;0,184;125
"820";0,268236833496892;931;0,304546941445862;254;0,0830879947661106;1052;0,344128230291135;3057;65;0,52;37;0,296;23;0,184;125
"829";0,271180896303566;930;0,304219823356232;253;0,0827608766764802;1045;0,341838403663723;3057;65;0,52;37;0,296;23;0,184;125
"860";0,281321557082107;943;0,308472358521426;250;0,0817795224075891;1004;0,328426561988878;3057;65;0,52;37;0,296;23;0,184;125
"826";0,270199542034675;952;0,311416421328099;271;0,0886490022898266;1008;0,329735034347399;3057;65;0,52;37;0,296;23;0,184;125
"829";0,271180896303566;956;0,312724893686621;252;0,0824337585868499;1020;0,333660451422964;3057;65;0,52;37;0,296;23;0,184;125
"791";0,258750408897612;929;0,303892705266601;262;0,0857049394831534;1075;0,351651946352633;3057;65;0,52;37;0,296;23;0,184;125
"803";0,262675825973176;964;0,315341838403664;245;0,0801439319594374;1045;0,341838403663723;3057;65;0,52;37;0,296;23;0,184;125
"813";0,26594700686948;962;0,314687602224403;250;0,0817795224075891;1032;0,337585868498528;3057;65;0,52;37;0,296;23;0,184;125
"833";0,272489368662087;921;0,301275760549558;271;0,0886490022898266;1032;0,337585868498528;3057;65;0,52;37;0,296;23;0,184;125
"797";0,260713117435394;952;0,311416421328099;284;0,0929015374550213;1024;0,334968923781485;3057;65;0,52;37;0,296;23;0,184;125
"813";0,26594700686948;994;0,325155381092574;238;0,0778541053320249;1012;0,331043506705921;3057;65;0,52;37;0,296;23;0,184;125
"818";0,267582597317632;962;0,314687602224403;247;0,0807981681386981;1030;0,336931632319267;3057;65;0,52;37;0,296;23;0,184;125
"860";0,281321557082107;949;0,310435067059208;246;0,0804710500490677;1002;0,327772325809617;3057;65;0,52;37;0,296;23;0,184;125
"835";0,273143604841348;946;0,309453712790317;251;0,0821066404972195;1025;0,335296041871115;3057;65;0,52;37;0,296;23;0,184;125
"831";0,271835132482826;941;0,307818122342166;259;0,0847235852142623;1026;0,335623159960746;3057;65;0,52;37;0,296;23;0,184;125
"804";0,263002944062807;999;0,326790971540726;251;0,0821066404972195;1003;0,328099443899248;3057;65;0,52;37;0,296;23;0,184;125
"799";0,261367353614655;927;0,303238469087341;281;0,0919201831861302;1050;0,343473994111874;3057;65;0,52;37;0,296;23;0,184;125
"820";0,268236833496892;966;0,315996074582924;242;0,0791625776905463;1029;0,336604514229637;3057;65;0,52;37;0,296;23;0,184;125
"815";0,266601243048741;926;0,30291135099771;276;0,0902845927379784;1040;0,340202813215571;3057;65;0,52;37;0,296;23;0,184;125
"858";0,280667320902846;956;0,312724893686621;268;0,0876676480209356;975;0,318940137389598;3057;65;0,52;37;0,296;23;0,184;125
"823";0,269218187765783;954;0,31207065750736;257;0,0840693490350016;1023;0,334641805691855;3057;65;0,52;37;0,296;23;0,184;125
"818";0,267582597317632;942;0,308145240431796;254;0,0830879947661106;1043;0,341184167484462;3057;65;0,52;37;0,296;23;0,184;125
"807";0,263984298331698;996;0,325809617271835;266;0,0870134118416748;988;0,323192672554792;3057;65;0,52;37;0,296;23;0,184;125
"801";0,262021589793916;944;0,308799476611057;269;0,0879947661105659;1043;0,341184167484462;3057;65;0,52;37;0,296;23;0,184;125
"815";0,266601243048741;908;0,297023225384364;275;0,0899574746483481;1059;0,346418056918548;3057;65;0,52;37;0,296;23;0,184;125
"787";0,257441936539091;963;0,315014720314033;257;0,0840693490350016;1050;0,343473994111874;3057;65;0,52;37;0,296;23;0,184;125
"824";0,269545305855414;953;0,31174353941773;249;0,0814524043179588;1031;0,337258750408898;3057;65;0,52;37;0,296;23;0,184;125
"819";0,267909715407262;962;0,314687602224403;244;0,079816813869807;1032;0,337585868498528;3057;65;0,52;37;0,296;23;0,184;125
"839";0,274452077199869;950;0,310762185148839;229;0,0749100425253516;1039;0,33987569512594;3057;65;0,52;37;0,296;23;0,184;125
"805";0,263330062152437;986;0,322538436375532;275;0,0899574746483481;991;0,324174026823683;3057;65;0,52;37;0,296;23;0,184;125
"812";0,26561988877985;950;0,310762185148839;283;0,0925744193653909;1012;0,331043506705921;3057;65;0,52;37;0,296;23;0,184;125
"825";0,269872423945044;934;0,305528295714753;252;0,0824337585868499;1046;0,342165521753353;3057;65;0,52;37;0,296;23;0,184;125
"832";0,272162250572457;974;0,318613019299967;268;0,0876676480209356;983;0,321557082106641;3057;65;0,52;37;0,296;23;0,184;125
"795";0,260058881256133;961;0,314360484134773;265;0,0866862937520445;1036;0,338894340857049;3057;65;0,52;37;0,296;23;0,184;125
"827";0,270526660124305;952;0,311416421328099;273;0,0893032384690873;1005;0,328753680078508;3057;65;0,52;37;0,296;23;0,184;125
"827";0,270526660124305;945;0,309126594700687;241;0,0788354596009159;1044;0,341511285574092;3057;65;0,52;37;0,296;23;0,184;125
"819";0,267909715407262;970;0,317304546941446;289;0,094537127903173;979;0,320248609748119;3057;65;0,52;37;0,296;23;0,184;125
