"N_BacBac";"P_BacBac";"N_BacDino";"P_BacDino";"N_DinoDino";"P_DinoDino";"N_AAutres";"P_AAutres";"N_asso";"N_bac";"P_bac";"N_dino";"P_dino";"N_autres";"P_autres";"N_taxons"
"369";0,225688073394495;597;0,365137614678899;212;0,129663608562691;457;0,279510703363914;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"354";0,21651376146789;579;0,354128440366972;218;0,133333333333333;484;0,296024464831804;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"382";0,233639143730887;575;0,351681957186544;215;0,131498470948012;463;0,283180428134557;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"368";0,225076452599388;579;0,354128440366972;204;0,124770642201835;484;0,296024464831804;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"344";0,21039755351682;594;0,363302752293578;232;0,141896024464832;465;0,284403669724771;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"341";0,208562691131498;578;0,353516819571865;235;0,143730886850153;481;0,294189602446483;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"372";0,227522935779817;533;0,325993883792049;231;0,141284403669725;499;0,30519877675841;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"367";0,224464831804281;556;0,340061162079511;221;0,135168195718654;491;0,300305810397553;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"368";0,225076452599388;570;0,348623853211009;238;0,145565749235474;459;0,280733944954128;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"356";0,217737003058104;559;0,341896024464832;215;0,131498470948012;505;0,308868501529052;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"368";0,225076452599388;591;0,361467889908257;210;0,128440366972477;466;0,285015290519878;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"369";0,225688073394495;561;0,343119266055046;217;0,132721712538226;488;0,298470948012232;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"355";0,217125382262997;582;0,355963302752294;233;0,142507645259939;465;0,284403669724771;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"361";0,220795107033639;574;0,351070336391437;216;0,132110091743119;484;0,296024464831804;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"362";0,221406727828746;593;0,362691131498471;216;0,132110091743119;464;0,283792048929664;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"384";0,234862385321101;595;0,363914373088685;213;0,130275229357798;443;0,270948012232416;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"375";0,229357798165138;569;0,348012232415902;219;0,13394495412844;472;0,28868501529052;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"368";0,225076452599388;554;0,338837920489297;233;0,142507645259939;480;0,293577981651376;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"378";0,231192660550459;574;0,351070336391437;225;0,137614678899083;458;0,280122324159021;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"361";0,220795107033639;574;0,351070336391437;217;0,132721712538226;483;0,295412844036697;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"386";0,236085626911315;562;0,343730886850153;220;0,134556574923547;467;0,285626911314985;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"364";0,22262996941896;579;0,354128440366972;225;0,137614678899083;467;0,285626911314985;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"350";0,214067278287462;568;0,347400611620795;226;0,13822629969419;491;0,300305810397553;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"330";0,201834862385321;590;0,36085626911315;228;0,139449541284404;487;0,297859327217125;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"359";0,219571865443425;567;0,346788990825688;237;0,144954128440367;472;0,28868501529052;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"370";0,226299694189602;555;0,339449541284404;230;0,140672782874618;480;0,293577981651376;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"371";0,226911314984709;596;0,364525993883792;203;0,124159021406728;465;0,284403669724771;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"369";0,225688073394495;595;0,363914373088685;209;0,12782874617737;462;0,28256880733945;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"354";0,21651376146789;579;0,354128440366972;218;0,133333333333333;484;0,296024464831804;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"356";0,217737003058104;602;0,368195718654434;209;0,12782874617737;468;0,286238532110092;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"370";0,226299694189602;567;0,346788990825688;238;0,145565749235474;460;0,281345565749235;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"356";0,217737003058104;584;0,357186544342508;218;0,133333333333333;477;0,291743119266055;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"378";0,231192660550459;554;0,338837920489297;220;0,134556574923547;483;0,295412844036697;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
"345";0,211009174311927;601;0,367584097859327;217;0,132721712538226;472;0,28868501529052;1635;42;0,471910112359551;33;0,370786516853933;14;0,157303370786517;89
