"Code_point_Libelle";"Date";"N_Bac";"P_Bac";"N_Dino";"P_Dino";"N_others";"P_others";"N_BacBac_neg";"P_BacBac_neg_tot";"P_BacBac_neg_neg";"N_BacDino_neg";"P_BacDino_neg_tot";"P_BacDino_neg_neg";"N_DinoDino_neg";"P_DinoDino_neg_tot";"P_DinoDino_neg_neg";"N_OtherA_neg";"P_OtherA_neg_tot";"P_OtherA_neg_neg"
"Anse de Carteau 2";2007-03-12;14;0,736842105263158;3;0,157894736842105;2;0,105263157894737;7;0,056;0,304347826086957;6;0,048;0,260869565217391;0;0;0;10;0,08;0,434782608695652
"Anse de Carteau 2";2007-03-26;12;0,857142857142857;2;0,142857142857143;0;0;7;0,0833333333333333;0,875;1;0,0119047619047619;0,125;0;0;0;0;0;0
"Anse de Carteau 2";2007-04-10;17;0,772727272727273;4;0,181818181818182;1;0,0454545454545455;15;0,0882352941176471;0,441176470588235;7;0,0411764705882353;0,205882352941176;0;0;0;12;0,0705882352941176;0,352941176470588
"Anse de Carteau 2";2007-04-23;12;0,666666666666667;5;0,277777777777778;1;0,0555555555555556;4;0,0300751879699248;0,19047619047619;15;0,112781954887218;0,714285714285714;2;0,0150375939849624;0,0952380952380952;0;0;0
"Anse de Carteau 2";2007-05-09;14;0,736842105263158;3;0,157894736842105;2;0,105263157894737;7;0,0546875;0,35;6;0,046875;0,3;0;0;0;7;0,0546875;0,35
"Anse de Carteau 2";2007-05-21;12;0,6;7;0,35;1;0,05;0;0;0;11;0,0691823899371069;0,6875;1;0,00628930817610063;0,0625;4;0,0251572327044025;0,25
"Anse de Carteau 2";2007-06-04;10;0,555555555555556;5;0,277777777777778;3;0,166666666666667;5;0,0390625;0,238095238095238;3;0,0234375;0,142857142857143;0;0;0;13;0,1015625;0,619047619047619
"Anse de Carteau 2";2007-06-18;14;0,7;4;0,2;2;0,1;6;0,037037037037037;0,428571428571429;1;0,00617283950617284;0,0714285714285714;0;0;0;7;0,0432098765432099;0,5
"Anse de Carteau 2";2007-07-02;12;0,631578947368421;6;0,315789473684211;1;0,0526315789473684;3;0,0220588235294118;0,333333333333333;4;0,0294117647058824;0,444444444444444;0;0;0;2;0,0147058823529412;0,222222222222222
"Anse de Carteau 2";2007-07-16;12;0,631578947368421;6;0,315789473684211;1;0,0526315789473684;5;0,0342465753424658;0,416666666666667;4;0,0273972602739726;0,333333333333333;2;0,0136986301369863;0,166666666666667;1;0,00684931506849315;0,0833333333333333
"Anse de Carteau 2";2007-07-30;12;0,8;2;0,133333333333333;1;0,0666666666666667;3;0,0422535211267606;0,176470588235294;5;0,0704225352112676;0,294117647058824;0;0;0;9;0,126760563380282;0,529411764705882
"Anse de Carteau 2";2007-08-13;6;0,6;2;0,2;2;0,2;2;0,0526315789473684;0,133333333333333;5;0,131578947368421;0,333333333333333;0;0;0;8;0,210526315789474;0,533333333333333
"Anse de Carteau 2";2007-08-27;12;0,75;3;0,1875;1;0,0625;9;0,0841121495327103;0,409090909090909;3;0,0280373831775701;0,136363636363636;0;0;0;10;0,0934579439252336;0,454545454545455
"Anse de Carteau 2";2007-09-10;10;0,5;7;0,35;3;0,15;9;0,0661764705882353;0,3;7;0,0514705882352941;0,233333333333333;4;0,0294117647058824;0,133333333333333;10;0,0735294117647059;0,333333333333333
"Anse de Carteau 2";2007-09-24;10;0,555555555555556;6;0,333333333333333;2;0,111111111111111;5;0,0373134328358209;0,217391304347826;4;0,0298507462686567;0,173913043478261;0;0;0;14;0,104477611940299;0,608695652173913
"Anse de Carteau 2";2007-10-08;15;0,714285714285714;5;0,238095238095238;1;0,0476190476190476;4;0,0211640211640212;0,333333333333333;4;0,0211640211640212;0,333333333333333;0;0;0;4;0,0211640211640212;0,333333333333333
"Anse de Carteau 2";2007-10-22;16;0,695652173913043;6;0,260869565217391;1;0,0434782608695652;8;0,0380952380952381;0,32;10;0,0476190476190476;0,4;0;0;0;7;0,0333333333333333;0,28
"Anse de Carteau 2";2007-11-05;10;0,833333333333333;1;0,0833333333333333;1;0,0833333333333333;9;0,166666666666667;0,692307692307692;2;0,037037037037037;0,153846153846154;0;0;0;2;0,037037037037037;0,153846153846154
"Anse de Carteau 2";2007-11-19;13;0,764705882352941;2;0,117647058823529;2;0,117647058823529;4;0,0336134453781513;0,210526315789474;3;0,0252100840336134;0,157894736842105;0;0;0;12;0,100840336134454;0,631578947368421
"Anse de Carteau 2";2007-12-03;13;0,764705882352941;2;0,117647058823529;2;0,117647058823529;18;0,168224299065421;0,620689655172414;2;0,0186915887850467;0,0689655172413793;0;0;0;9;0,0841121495327103;0,310344827586207
"Anse de Carteau 2";2007-12-19;2;0,5;1;0,25;1;0,25;1;0,166666666666667;0,25;1;0,166666666666667;0,25;0;0;0;2;0,333333333333333;0,5
"Anse de Carteau 2";2008-01-02;6;0,545454545454545;3;0,272727272727273;2;0,181818181818182;3;0,0666666666666667;0,25;2;0,0444444444444444;0,166666666666667;0;0;0;7;0,155555555555556;0,583333333333333
"Anse de Carteau 2";2008-01-15;3;1;0;0;0;0;2;0,666666666666667;1;0;0;0;0;0;0;0;0;0
"Anse de Carteau 2";2008-01-28;6;0,545454545454545;3;0,272727272727273;2;0,181818181818182;2;0,0444444444444444;0,25;2;0,0444444444444444;0,25;0;0;0;4;0,0888888888888889;0,5
"Anse de Carteau 2";2008-02-11;7;0,538461538461538;5;0,384615384615385;1;0,0769230769230769;4;0,0606060606060606;0,235294117647059;7;0,106060606060606;0,411764705882353;0;0;0;6;0,0909090909090909;0,352941176470588
"Anse de Carteau 2";2008-02-26;6;0,545454545454545;4;0,363636363636364;1;0,0909090909090909;1;0,0222222222222222;0,333333333333333;2;0,0444444444444444;0,666666666666667;0;0;0;0;0;0
"Anse de Carteau 2";2008-03-10;6;0,6;2;0,2;2;0,2;0;0;0;0;0;0;0;0;0;8;0,195121951219512;1
"Anse de Carteau 2";2008-03-25;10;0,666666666666667;2;0,133333333333333;3;0,2;3;0,0384615384615385;0,2;2;0,0256410256410256;0,133333333333333;0;0;0;10;0,128205128205128;0,666666666666667
"Anse de Carteau 2";2008-04-07;13;0,8125;1;0,0625;2;0,125;5;0,0490196078431373;0,294117647058824;0;0;0;0;0;0;12;0,117647058823529;0,705882352941177
"Anse de Carteau 2";2008-04-21;13;0,8125;2;0,125;1;0,0625;8;0,0776699029126214;0,4;2;0,0194174757281553;0,1;0;0;0;10;0,0970873786407767;0,5
"Anse de Carteau 2";2008-05-05;7;0,538461538461538;3;0,230769230769231;3;0,230769230769231;0;0;0;0;0;0;0;0;0;9;0,147540983606557;1
"Anse de Carteau 2";2008-05-19;10;0,526315789473684;6;0,315789473684211;3;0,157894736842105;8;0,0661157024793388;0,205128205128205;12;0,0991735537190083;0,307692307692308;1;0,00826446280991736;0,0256410256410256;18;0,148760330578512;0,461538461538462
"Anse de Carteau 2";2008-06-02;11;0,647058823529412;6;0,352941176470588;0;0;7;0,0666666666666667;0,583333333333333;3;0,0285714285714286;0,25;2;0,019047619047619;0,166666666666667;0;0;0
"Anse de Carteau 2";2008-06-16;9;0,6;4;0,266666666666667;2;0,133333333333333;0;0;0;0;0;0;0;0;0;11;0,122222222222222;1
"Anse de Carteau 2";2008-06-30;6;0,4;9;0,6;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA
"Anse de Carteau 2";2008-07-15;11;0,55;7;0,35;2;0,1;7;0,049645390070922;0,291666666666667;9;0,0638297872340425;0,375;0;0;0;8;0,0567375886524823;0,333333333333333
"Anse de Carteau 2";2008-07-28;9;0,529411764705882;8;0,470588235294118;0;0;4;0,0341880341880342;0,235294117647059;13;0,111111111111111;0,764705882352941;0;0;0;0;0;0
"Anse de Carteau 2";2008-08-11;10;0,769230769230769;2;0,153846153846154;1;0,0769230769230769;5;0,0819672131147541;0,333333333333333;4;0,0655737704918033;0,266666666666667;0;0;0;6;0,0983606557377049;0,4
"Anse de Carteau 2";2008-08-25;9;0,529411764705882;7;0,411764705882353;1;0,0588235294117647;5;0,040983606557377;0,263157894736842;7;0,0573770491803279;0,368421052631579;1;0,00819672131147541;0,0526315789473684;6;0,0491803278688525;0,315789473684211
"Anse de Carteau 2";2008-09-08;9;0,5;8;0,444444444444444;1;0,0555555555555556;0;0;0;4;0,0287769784172662;0,266666666666667;4;0,0287769784172662;0,266666666666667;7;0,0503597122302158;0,466666666666667
"Anse de Carteau 2";2008-09-22;11;0,6875;4;0,25;1;0,0625;13;0,134020618556701;0,5;5;0,0515463917525773;0,192307692307692;0;0;0;8;0,0824742268041237;0,307692307692308
"Anse de Carteau 2";2008-10-06;7;0,583333333333333;3;0,25;2;0,166666666666667;3;0,0666666666666667;0,1875;6;0,133333333333333;0,375;1;0,0222222222222222;0,0625;6;0,133333333333333;0,375
"Anse de Carteau 2";2008-10-20;7;0,777777777777778;0;0;2;0,222222222222222;4;0,16;0,8;0;0;0;0;0;0;1;0,04;0,2
"Anse de Carteau 2";2008-11-03;3;0,6;1;0,2;1;0,2;1;0,111111111111111;0,2;1;0,111111111111111;0,2;0;0;0;3;0,333333333333333;0,6
"Anse de Carteau 2";2008-11-17;10;0,714285714285714;3;0,214285714285714;1;0,0714285714285714;8;0,114285714285714;0,727272727272727;3;0,0428571428571429;0,272727272727273;0;0;0;0;0;0
"Anse de Carteau 2";2008-12-01;6;0,857142857142857;1;0,142857142857143;0;0;3;0,166666666666667;0,75;1;0,0555555555555556;0,25;0;0;0;0;0;0
"Anse de Carteau 2";2008-12-15;7;0,777777777777778;1;0,111111111111111;1;0,111111111111111;1;0,0333333333333333;0,125;2;0,0666666666666667;0,25;0;0;0;5;0,166666666666667;0,625
"Anse de Carteau 2";2008-12-29;6;0,75;1;0,125;1;0,125;3;0,125;0,428571428571429;0;0;0;0;0;0;4;0,166666666666667;0,571428571428571
"Anse de Carteau 2";2009-01-12;11;0,733333333333333;0;0;4;0,266666666666667;6;0,0769230769230769;0,5;0;0;0;0;0;0;6;0,0769230769230769;0,5
"Anse de Carteau 2";2009-01-19;12;0,8;1;0,0666666666666667;2;0,133333333333333;9;0,121621621621622;0,5625;1;0,0135135135135135;0,0625;0;0;0;6;0,0810810810810811;0,375
