"Code_point_Libelle";"Date";"N_noeuds";"N_liens";"D_liens";"C_tance";"Avg_p_length";"Adhes";"Mod";"meanN_liens";"Assort";"Diss";"Trans";"meanN_voisins";"Nat_connect";"N_clust";"N_bac";"P_bac";"N_dino";"P_dino";"N_autres";"P_autres";"N_BacBac";"P_BacBac";"N_BacDino";"P_BacDino";"N_DinoDino";"P_DinoDino";"N_AAutres";"P_AAutres";"PP_BacBac";"PP_BacDino";"PP_DinoDino";"PP_AAutres"
"Géfosse";2007-03-07;17;60;3,52941176470588;0,441176470588235;0,111525416464627;5;0,228194444444444;7,05882352941176;-0,0261087675293597;0,863191749796659;0,548302872062663;4,86666666666667;0,0808948525515876;3;13;0,764705882352941;1;0,0588235294117647;3;0,176470588235294;34;0,566666666666667;7;0,116666666666667;0;0;19;0,316666666666667;0,655725372769314;0,125223818568832;0;0,219050808661855
"Géfosse";2007-03-27;12;33;2,75;0,5;0,133735788071845;1;0,0991735537190084;5,5;-0,0259067357512921;0,819132740182553;0,657303370786517;4,39393939393939;0,127829116399338;2;8;0,666666666666667;2;0,166666666666667;2;0,166666666666667;12;0,363636363636364;11;0,333333333333333;1;0,0303030303030303;9;0,272727272727273;0,440183000735776;0,360784604175456;0,0781863692191703;0,120846025869598
"Géfosse";2007-04-19;14;45;3,21428571428571;0,494505494505495;0,136095656641883;4;0,191604938271605;6,42857142857143;-0,187624750498999;0,838401568028808;0,586206896551724;4,08888888888889;0,103027396015295;2;13;0,928571428571429;1;0,0714285714285714;0;0;39;0,866666666666667;6;0,133333333333333;0;0;0;0;0,857267462992734;0,142732537007266;0;0
"Géfosse";2007-06-18;27;190;7,03703703703704;0,541310541310541;0,108952575126338;4;0,124432132963989;14,0740740740741;0,142015706806284;0,833808249646899;0,691544117647059;3,83684210526316;0,0663653201230957;3;17;0,62962962962963;7;0,259259259259259;3;0,111111111111111;80;0,421052631578947;58;0,305263157894737;20;0,105263157894737;32;0,168421052631579;0,435903425785392;0,238914620898519;0,167726908473443;0,157455044842646
"Géfosse";2007-07-06;24;186;7,75;0,673913043478261;0,111587683002014;5;0,0525349751416349;15,5;-0,0278890833651715;0,813274760893252;0,798913043478261;3,0752688172043;0,0923433428547186;3;12;0,5;9;0,375;3;0,125;48;0,258064516129032;72;0,387096774193548;36;0,193548387096774;30;0,161290322580645;0,322543521389339;0,311496726099611;0,233657844306449;0,1323019082046
"Géfosse";2007-08-14;18;75;4,16666666666667;0,490196078431373;0,117802904462458;2;0,121511111111111;8,33333333333333;0,0694187174737574;0,836060941575764;0,668224299065421;4,30666666666667;0,0836073983470318;3;12;0,666666666666667;4;0,222222222222222;2;0,111111111111111;33;0,44;23;0,306666666666667;5;0,0666666666666667;14;0,186666666666667;0,500933500924504;0,266134831321512;0,0946472056691694;0,138284462084814
"Géfosse";2007-10-01;22;138;6,27272727272727;0,597402597402597;0,0945792415987434;5;0,0918924595673178;12,5454545454545;0,0251872499573865;0,849777116213259;0,711251435132032;3,23913043478261;0,0753897090446063;3;14;0,636363636363636;7;0,318181818181818;1;0,0454545454545455;53;0,384057971014493;60;0,434782608695652;18;0,130434782608696;7;0,0507246376811594;0,403376491629254;0,377274664713567;0,171153399958756;0,0481954436984222
"Géfosse";2007-10-30;14;46;3,28571428571429;0,505494505494505;0,130030970782087;4;0,119328922495274;6,57142857142857;0,117117117117116;0,858544057917186;0,608695652173913;3,58695652173913;0,0995762500183353;3;10;0,714285714285714;2;0,142857142857143;2;0,142857142857143;23;0,5;10;0,217391304347826;1;0,0217391304347826;12;0,260869565217391;0,688015182790942;0,158267437213773;0,00985660658124693;0,143860773414039
"Géfosse";2007-11-16;8;14;1,75;0,5;0,210612089665795;2;0,26530612244898;3,5;0,0454545454545447;0,84497823620372;0,675;4,07142857142857;0,18168218799197;2;8;1;0;0;0;0;14;1;0;0;0;0;0;0;1;0;0;0
"Géfosse";2007-12-12;9;16;1,77777777777778;0,444444444444444;0,191552895032282;3;0,259765625;3,55555555555556;-0,0666666666666667;0,862735255601077;0,571428571428571;5;0,153507844948074;3;7;0,777777777777778;1;0,111111111111111;1;0,111111111111111;10;0,625;3;0,1875;0;0;3;0,1875;0,58808039572312;0,206444052297276;0;0,205475551979604
"Géfosse";2008-01-16;10;20;2;0,444444444444444;0,257074871528024;2;0,155;4;0,651416122004358;0,82776198590203;0,608695652173913;5,6;0,142251955783949;3;7;0,7;1;0,1;2;0,2;12;0,6;1;0,05;0;0;7;0,35;0,698121998201737;0,0239551532371453;0;0,277922848561117
"Géfosse";2008-02-12;12;40;3,33333333333333;0,606060606060606;0,11779503610176;5;0,1746875;6,66666666666667;-0,167755991285404;0,825622900472142;0,612765957446809;3,125;0,126673991477941;2;9;0,75;1;0,0833333333333333;2;0,166666666666667;21;0,525;5;0,125;0;0;14;0,35;0,630003223646511;0,169192418669533;0;0,200804357683956
"Géfosse";2008-05-07;12;41;3,41666666666667;0,621212121212121;0,121922282588519;3;0,00922070196311719;6,83333333333333;-0,0807388958073923;0,814651457579479;0,71264367816092;3,17073170731707;0,135156588823221;3;9;0,75;2;0,166666666666667;1;0,0833333333333333;23;0,560975609756098;12;0,292682926829268;1;0,024390243902439;5;0,121951219512195;0,706427254615755;0,188658369569235;0,039626781997731;0,0652875938172783
"Géfosse";2008-06-17;12;44;3,66666666666667;0,666666666666667;0,127808650418004;3;0,0204028925619835;7,33333333333333;-0,137305224564622;0,821782774740138;0,762214983713355;2,63636363636364;0,132196703205523;2;8;0,666666666666667;2;0,166666666666667;2;0,166666666666667;23;0,522727272727273;10;0,227272727272727;1;0,0227272727272727;10;0,227272727272727;0,715516597492725;0,158082569246574;0,029290853137851;0,0971099801228496
"Géfosse";2008-08-20;13;50;3,84615384615385;0,641025641025641;0,117173690350777;3;0,1118;7,69230769230769;0,144008056394763;0,801030770512016;0,786885245901639;3,1;0,131603493193998;2;9;0,692307692307692;4;0,307692307692308;0;0;21;0,42;23;0,46;6;0,12;0;0;0,491806183661833;0,395883689243271;0,112310127094896;0
"Géfosse";2008-09-03;19;96;5,05263157894737;0,56140350877193;0,122172535335809;1;0,0557725694444444;10,1052631578947;0,128802588996765;0,83732022014583;0,773529411764706;3,40625;0,0843992500547072;3;11;0,578947368421053;5;0,263157894736842;3;0,157894736842105;29;0,302083333333333;33;0,34375;10;0,104166666666667;24;0,25;0,304705008240272;0,320506674947321;0,214911057068332;0,159877259744075
"Géfosse";2008-10-02;13;37;2,84615384615385;0,474358974358974;0,124473632019797;1;0,0986121256391527;5,69230769230769;-0,150373692077729;0,858363720017469;0,619718309859155;4,10810810810811;0,107361606825381;3;8;0,615384615384615;3;0,230769230769231;2;0,153846153846154;12;0,324324324324324;11;0,297297297297297;2;0,0540540540540541;12;0,324324324324324;0,371577702568273;0,317118837938655;0,0779812008077736;0,233322258685298
"Géfosse";2008-11-06;10;23;2,3;0,511111111111111;0,153320145677551;1;0,056710775047259;4,6;-0,12253374870197;0,828330337078271;0,636363636363636;3,56521739130435;0,147761527161869;2;7;0,7;0;0;3;0,3;13;0,565217391304348;0;0;0;0;10;0,434782608695652;0,760801060868378;0;0;0,239198939131622
"Géfosse";2008-12-02;7;12;1,71428571428571;0,571428571428571;0,159649614086407;2;0,152777777777778;3,42857142857143;-0,155555555555556;0,87178344088676;0,636363636363636;2,83333333333333;0,20582567344397;2;7;1;0;0;0;0;12;1;0;0;0;0;0;0;1;0;0;0
"Géfosse";2009-01-13;9;22;2,44444444444444;0,611111111111111;0,105495169194883;2;0,0898760330578512;4,88888888888889;-0,286153846153846;0,839440391251828;0,711340206185567;2,95454545454545;0,166506366147273;2;7;0,777777777777778;1;0,111111111111111;1;0,111111111111111;12;0,545454545454545;4;0,181818181818182;0;0;6;0,272727272727273;0,554322556880873;0,27754136875003;0;0,168136074369097
"Géfosse";2009-02-05;10;25;2,5;0,555555555555556;0,13380736569133;3;0,1272;5;-0,330532212885158;0,819699774996856;0,566037735849057;3,44;0,148772314594981;2;9;0,9;1;0,1;0;0;21;0,84;4;0,16;0;0;0;0;0,782504422565747;0,217495577434253;0;0
