"","season","region","Phylum","abondance","rank"
"1","Fall","1-Mediterranean sea","Achnanthaceae",0,216.5
"2","Fall","1-Mediterranean sea","Achnanthes",0.000209142483649653,116
"3","Fall","1-Mediterranean sea","Actinastrum",0,216.5
"4","Fall","1-Mediterranean sea","Actinocyclus",0.00190658412031321,43
"5","Fall","1-Mediterranean sea","Actinoptychus",0,216.5
"6","Fall","1-Mediterranean sea","Adenoides",0,216.5
"7","Fall","1-Mediterranean sea","Akashiwo",0.000423038205564071,96
"8","Fall","1-Mediterranean sea","Alexandrium",0.000604624470903457,86
"9","Fall","1-Mediterranean sea","Amphidiniopsis",0,216.5
"10","Fall","1-Mediterranean sea","Amphidinium",0.000744113653716906,77
"11","Fall","1-Mediterranean sea","Amphidoma",0,216.5
"12","Fall","1-Mediterranean sea","Amphidomataceae",0,216.5
"13","Fall","1-Mediterranean sea","Amphiprora",0,216.5
"14","Fall","1-Mediterranean sea","Amphora",0.00031371372547448,105
"15","Fall","1-Mediterranean sea","Amylax",0.00015685686273724,122
"16","Fall","1-Mediterranean sea","Anabaena",0,216.5
"17","Fall","1-Mediterranean sea","Ankistrodesmus",0,216.5
"18","Fall","1-Mediterranean sea","Apedinella",0,216.5
"19","Fall","1-Mediterranean sea","Archaeperidinium",0.00105259210521042,62
"20","Fall","1-Mediterranean sea","Asterionella",0.000909769803875991,67
"21","Fall","1-Mediterranean sea","Asterionellopsis",0.0441655423902482,8
"22","Fall","1-Mediterranean sea","Asterolampra",0,216.5
"23","Fall","1-Mediterranean sea","Asterolampraceae",0,216.5
"24","Fall","1-Mediterranean sea","Asteromphalus",0.000812803743274788,74
"25","Fall","1-Mediterranean sea","Asteroplanus",0,216.5
"26","Fall","1-Mediterranean sea","Attheya",0,216.5
"27","Fall","1-Mediterranean sea","Aulacodiscaceae",0,216.5
"28","Fall","1-Mediterranean sea","Aulacodiscus",0,216.5
"29","Fall","1-Mediterranean sea","Aulacoseira",0,216.5
"30","Fall","1-Mediterranean sea","Aulacoseiraceae",0,216.5
"31","Fall","1-Mediterranean sea","Auricula",0,216.5
"32","Fall","1-Mediterranean sea","Azadinium",0.00031371372547448,105
"33","Fall","1-Mediterranean sea","Bacillaria",0.00149014019600378,50
"34","Fall","1-Mediterranean sea","Bacillariaceae",0,216.5
